#		 BLOCK:	 ACTUAL_T:		 T_AVE:			 ERROR:
         167      1.1012     1.08805  0.00143852
         168     1.10673     1.08816  0.00143425
         169     1.09539      1.0882   0.0014264
         170     1.06492     1.08806  0.00142457
         171      1.0626     1.08791    0.001424
         172     1.11241     1.08806  0.00142282
         173     1.08768     1.08805   0.0014146
         174     1.07487     1.08798   0.0014085
         175     1.07684     1.08791  0.00140189
         176     1.07505     1.08784  0.00139583
         177     1.05777     1.08767  0.00139824
         178     1.09644     1.08772  0.00139126
         179     1.08203     1.08769  0.00138385
         180     1.09541     1.08773  0.00137682
         181     1.08813     1.08773  0.00136922
         182     1.09346     1.08777  0.00136206
         183     1.06208     1.08763  0.00136183
         184     1.08463     1.08761  0.00135453
         185     1.07957     1.08757   0.0013479
         186     1.08075     1.08753  0.00134115
         187     1.07161     1.08744  0.00133668
         188     1.09141     1.08747  0.00132974
         189     1.07731     1.08741  0.00132378
         190     1.08867     1.08742  0.00131683
         191      1.0916     1.08744  0.00131012
         192     1.08846     1.08745  0.00130331
         193     1.12293     1.08763  0.00130946
         194     1.12167      1.0878  0.00131442
         195      1.0833     1.08778  0.00130788
         196     1.09524     1.08782  0.00130176
         197     1.05236     1.08764  0.00130754
         198     1.07205     1.08756   0.0013033
         199     1.07762     1.08751  0.00129771
         200     1.09705     1.08756   0.0012921
         201     1.11323     1.08769  0.00129197
         202     1.10958     1.08779  0.00129011
         203     1.05768     1.08765  0.00129226
         204     1.08012     1.08761  0.00128645
         205     1.06307     1.08749  0.00128573
         206      1.0902      1.0875  0.00127955
         207     1.08413     1.08749  0.00127348
         208       1.082     1.08746  0.00126763
         209     1.08267     1.08744  0.00126177
         210     1.08115     1.08741  0.00125612
         211     1.09959     1.08747  0.00125149
         212     1.10187     1.08753  0.00124743
         213     1.07986      1.0875  0.00124209
         214      1.1267     1.08768  0.00124972
         215      1.0953     1.08772  0.00124441
         216     1.09309     1.08774   0.0012389
         217     1.10399     1.08782  0.00123545
         218     1.08767     1.08781  0.00122978
         219     1.08975     1.08782   0.0012242
         220     1.06069      1.0877  0.00122483
         221     1.07906     1.08766  0.00121991
         222     1.06912     1.08758  0.00121727
         223     1.08149     1.08755  0.00121212
         224     1.08422     1.08754   0.0012068
         225     1.08181     1.08751  0.00120171
         226     1.07143     1.08744  0.00119849
         227     1.06605     1.08734  0.00119691
         228     1.07782      1.0873  0.00119239
         229     1.12421     1.08746  0.00119803
         230     1.08382     1.08745  0.00119292
         231     1.12375     1.08761  0.00119806
         232     1.07049     1.08753  0.00119517
         233     1.04676     1.08736  0.00120278
         234     1.07181     1.08729  0.00119948
         235     1.07884     1.08725  0.00119491
         236     1.10927     1.08735  0.00119348
         237     1.07529      1.0873  0.00118953
         238     1.05967     1.08718  0.00119018
         239     1.08683     1.08718   0.0011852
         240     1.07882     1.08714  0.00118078
         241     1.11697     1.08727  0.00118235
         242      1.0619     1.08716   0.0011821
         243     1.07454     1.08711  0.00117838
         244     1.05387     1.08697   0.0011814
         245     1.10122     1.08703    0.001178
         246      1.0796       1.087   0.0011736
         247     1.07985     1.08697  0.00116921
         248     1.11194     1.08707  0.00116882
         249     1.10886     1.08716   0.0011674
         250      1.1019     1.08722  0.00116421
         251     1.07365     1.08717  0.00116083
         252     1.06438     1.08708  0.00115974
         253     1.09668     1.08711  0.00115578
         254     1.10542     1.08719  0.00115347
         255     1.07183     1.08713  0.00115052
         256     1.08186     1.08711  0.00114621
         257     1.06575     1.08702  0.00114476
         258     1.10582      1.0871  0.00114264
         259     1.09694     1.08713  0.00113886
         260     1.08021     1.08711  0.00113479
         261      1.1292     1.08727  0.00114184
         262     1.10629     1.08734  0.00113979
         263       1.053     1.08721  0.00114291
         264     1.02328     1.08697  0.00116395
         265     1.05374     1.08684   0.0011663
         266     1.10419     1.08691  0.00116373
         267     1.09483     1.08694  0.00115975
         268     1.07309     1.08689  0.00115658
         269     1.09378     1.08691  0.00115256
         270     1.10994       1.087  0.00115144
         271     1.06756     1.08693  0.00114942
         272     1.07453     1.08688   0.0011461
         273     1.09393     1.08691  0.00114219
         274     1.08312     1.08689  0.00113811
         275     1.09159     1.08691   0.0011341
         276     1.05298     1.08679  0.00113663
         277     1.06709     1.08671  0.00113475
         278     1.07928     1.08669  0.00113098
         279      1.0869     1.08669  0.00112693
         280     1.08642     1.08669   0.0011229
         281     1.10174     1.08674  0.00112018
         282     1.10663     1.08681  0.00111843
         283     1.08596     1.08681  0.00111448
         284     1.09461     1.08684   0.0011109
         285     1.11715     1.08694  0.00111208
         286     1.08253     1.08693   0.0011083
         287      1.0952     1.08696  0.00110481
         288     1.07808     1.08693   0.0011014
         289     1.08281     1.08691  0.00109768
         290     1.09369     1.08693  0.00109415
         291     1.05433     1.08682  0.00109611
         292     1.06338     1.08674  0.00109529
         293     1.11041     1.08682  0.00109453
         294     1.08624     1.08682  0.00109081
         295     1.06866     1.08676  0.00108884
         296     1.08438     1.08675   0.0010852
         297     1.06232     1.08667  0.00108465
         298      1.0763     1.08663  0.00108157
         299     1.05668     1.08653  0.00108258
         300     1.06943     1.08648  0.00108048
