# STEP: 		 AVERAGE: 		 ERROR:
       1               1               0
       2         1.41219      0.00390416
       3         1.73131      0.00562937
       4         1.99758      0.00765892
       5          2.2367      0.00773596
       6         2.44535      0.00850936
       7         2.63813      0.00953475
       8         2.80893       0.0104496
       9         2.97886       0.0111417
      10         3.12583       0.0121481
      11         3.28683       0.0133315
      12         3.43661       0.0130903
      13         3.58029       0.0137502
      14         3.71756       0.0142528
      15          3.8475       0.0133951
      16         3.97981       0.0146086
      17         4.09981       0.0149584
      18         4.21568       0.0158875
      19         4.33204       0.0161452
      20          4.4377       0.0165561
      21         4.54435       0.0176919
      22         4.64507       0.0180453
      23         4.76137       0.0189507
      24         4.87126       0.0189335
      25         4.96848       0.0193532
      26         5.06226       0.0201782
      27         5.15747       0.0203186
      28         5.25638       0.0204981
      29         5.34596       0.0211539
      30         5.44405       0.0212533
      31         5.53974       0.0212866
      32          5.6345       0.0216763
      33         5.72352       0.0221175
      34         5.81143       0.0222557
      35         5.90336       0.0223425
      36         5.99291       0.0216477
      37         6.07302        0.021589
      38         6.16361       0.0216483
      39         6.25004       0.0221254
      40         6.32814       0.0224543
      41         6.40978       0.0241856
      42          6.4828       0.0250478
      43         6.56661       0.0259962
      44         6.64295       0.0274563
      45         6.71397       0.0289888
      46         6.79221       0.0293631
      47         6.87144       0.0291115
      48         6.93937       0.0294942
      49          7.0045       0.0300563
      50         7.07215       0.0298179
      51         7.15051       0.0303253
      52         7.23026       0.0301526
      53         7.30554       0.0297833
      54         7.37511       0.0293877
      55         7.44527       0.0290866
      56         7.51991       0.0295925
      57         7.58781         0.02983
      58         7.64768       0.0310803
      59         7.72392       0.0315399
      60         7.79506       0.0318451
      61         7.86911       0.0327631
      62         7.94132       0.0324915
      63         7.99953       0.0327269
      64         8.06799       0.0328184
      65         8.13058       0.0325783
      66         8.19525       0.0337979
      67         8.25572       0.0342239
      68           8.314       0.0342017
      69         8.37931       0.0336633
      70         8.44144       0.0340841
      71          8.4952        0.033876
      72         8.55884       0.0330873
      73         8.60651       0.0337265
      74         8.64197        0.033753
      75         8.69942       0.0336326
      76         8.76461       0.0332057
      77         8.82965       0.0323163
      78         8.87712       0.0326655
      79         8.93823       0.0323465
      80         8.99906       0.0323267
      81         9.05161       0.0328287
      82         9.10677       0.0328897
      83         9.15947       0.0328285
      84         9.21386       0.0334531
      85         9.26893       0.0341031
      86         9.32081       0.0336524
      87         9.37164       0.0344583
      88         9.41714       0.0345021
      89         9.46683        0.034621
      90         9.51769        0.035294
      91         9.58484       0.0354293
      92         9.63406       0.0363624
      93          9.6871       0.0362404
      94         9.73795       0.0368194
      95         9.78711       0.0374551
      96         9.84382       0.0380561
      97         9.88763       0.0386589
      98         9.93545        0.038905
      99         9.98602       0.0387464
     100         10.0322       0.0382534
