# STEP 			 x 			 y 			 z
       0   -0.102489   0.0712314    0.992181
       1  -0.0592427 -0.00183762     1.98857
       2    0.539022    0.346305     1.26685
       3    0.545313    0.701404     2.20166
       4    0.675665    0.701112     1.21019
       5   -0.305736     0.51004     1.22872
       6     -0.7509     1.22626    0.691262
       7    0.241005     1.35222    0.707388
       8   -0.340079    0.598272     1.01384
       9  -0.0686408    0.996941    0.137831
      10   -0.546519    0.126788    0.258106
      11   -0.533616   -0.789668    -0.14182
      12   -0.728129    -1.76471   -0.248826
      13    -0.12125    -2.31977   -0.817694
      14   -0.534953    -2.16376    -1.71464
      15   -0.578881    -2.29266   -0.723955
      16   -0.647804    -1.81763    -1.60122
      17    -1.33269    -2.48449    -1.89487
      18    -1.05224      -1.525    -1.92174
      19    -1.35056    -2.47946    -1.92534
      20    -1.46002    -2.74314    -2.88372
      21    -1.71502    -3.66374    -2.58797
      22    -1.55468    -2.84787    -2.03241
      23    -1.55861    -3.00957    -1.04558
      24    -2.10097    -3.53296    -1.70277
      25     -2.3651     -3.2033    -2.60917
      26     -1.8233    -2.81681    -1.86279
      27   -0.918911    -2.42591    -2.03388
      28    -1.24531    -2.24105     -1.1069
      29    -1.18125    -1.62493    -1.89195
      30    -1.71214    -1.76919    -1.05688
      31   -0.928389    -1.31123    -1.47642
      32   -0.191882    -1.38768   -0.804324
      33   -0.178027    -1.38869    -1.80423
      34   -0.135208     -1.7706   -0.881017
      35    0.438463    -1.05175    -1.27366
      36    0.109267    -1.96253    -1.02445
      37    0.170217    -2.01422    -2.02125
      38    0.306375    -2.20126    -1.04838
      39    0.921092     -1.7484    -1.69417
      40     1.23988    -1.58763   -0.760076
      41     1.67745   -0.755345    -1.10041
      42     2.06765   -0.166051    -1.80785
      43     2.50831    0.719505    -1.95485
      44     3.45244    0.438594    -2.12724
      45     3.59622     1.17612    -2.78707
      46      3.2642      2.1058    -2.94668
      47     3.13033     1.12517    -3.08968
      48      2.7985     1.68217    -2.32834
      49     1.99781     2.02016    -1.83372
      50      1.1236     2.43323     -1.5785
      51    0.813103     1.97325   -0.746622
      52     1.18242      1.9786    -1.67591
      53     1.31975     2.54814    -2.48632
      54     1.02887     1.68144    -2.89155
      55     1.01791     2.14556    -2.00585
      56     1.90953     2.03728    -1.56621
      57     2.04594     2.56006   -0.724732
      58     1.85281     2.19216    -1.63432
      59     1.96416     1.20027     -1.6957
      60     2.52971    0.394256    -1.52108
      61     2.44446   0.0723683    -2.46401
      62     2.16537  -0.0539442    -3.41593
      63      2.8691    0.200117    -4.07942
      64     2.33843     0.82398    -4.65317
      65     2.29886    0.835601    -5.65232
      66     2.35886    0.713697    -6.64305
      67     2.41066   -0.281021    -6.73167
      68     2.48766    -0.39851    -5.74158
      69     2.28759   -0.790905    -6.63935
      70     1.56225   -0.878832    -7.32211
      71     1.60679    -1.87475    -7.24358
      72     2.37132    -2.49634     -7.4142
      73      3.0466     -3.2076    -7.60941
      74      2.6325    -4.09532    -7.40826
      75     2.81203    -4.23607    -6.43463
      76     2.07182    -4.22384    -5.76237
      77     1.86019    -4.00725    -6.71542
      78     2.82895    -3.92855    -6.48024
      79     3.61279    -3.90001    -5.85993
      80     3.63844    -4.00929    -4.86625
      81     3.25819    -4.26552    -3.97756
      82      3.1859    -4.46385     -3.0001
      83     3.37762    -4.29526    -2.03324
      84     2.82081    -4.72672    -2.74303
      85     2.69233    -4.71106    -3.73462
      86     2.40646    -4.90207    -2.79558
      87     2.83974    -5.22168     -1.9529
      88     3.07564    -5.04409    -2.90831
      89     2.73952    -4.36474    -2.25601
      90     2.70593    -3.88675    -1.37829
      91     3.38847    -4.32038     -1.9666
      92     2.62633    -4.04146    -1.38235
      93     2.46148    -4.96425     -1.7306
      94     2.61498    -5.03717   -0.745144
      95     3.39852    -5.51333    -1.14431
      96     3.86309    -5.73432    -2.00183
      97     4.81409    -5.64201    -1.70671
      98      5.1481    -4.79315    -2.11643
      99     5.86235    -5.05197    -2.76671
     101     5.48959    -4.63088    -3.59359
     102     4.84363    -3.86814     -3.6245
     103     4.19766    -4.60274    -3.83209
     104     4.05664    -3.75697    -3.31752
     105     4.51379    -3.96878    -4.18132
     106     4.45747    -3.93251    -5.17907
     107       5.366    -4.24066    -5.46123
     108     5.20161    -4.06051    -6.43103
     109     4.29515    -4.47969    -6.48221
     110      4.2924    -4.37168    -7.47636
     111     3.66334    -3.64433    -7.20204
     112     3.39786    -3.89412    -8.13323
     113       3.677    -3.58176    -9.04126
     114     3.06782    -4.22593    -8.57873
     115     2.56026     -4.7721    -7.91233
     116     3.21965    -5.17208    -7.27576
     117     2.65286    -4.75035    -6.56802
     118     2.97958    -4.47567    -7.47234
     119     2.64186    -5.11515    -6.78168
     120     3.15417    -4.54404    -6.14031
     121     3.33892    -4.66166    -7.11603
     122     3.89388    -5.48876    -7.02702
     123     4.50867    -6.06778    -6.49152
     124      4.8435    -6.47516    -7.34119
     125     4.74864    -6.41534    -8.33489
     126     4.37245    -6.70469    -7.45469
     127      4.4523    -6.72634    -6.45811
     128     5.30736    -7.11301    -6.11263
     129     5.79501    -7.91378    -6.46042
     130     5.91217    -7.76807    -5.47806
     131     5.95818    -8.03792    -6.43986
     132     5.96046    -8.03788    -7.43986
     133     6.52765    -7.62081    -6.72968
     134     5.92959    -6.86174     -6.4725
     135     5.07045    -7.36459    -6.56747
     136     5.54247    -8.24504    -6.61216
     137     4.99615    -8.34545    -5.78063
     138     5.42846    -8.32735    -6.68217
     139     5.43123    -8.30656    -5.68239
     140     6.02018    -8.65773    -6.41028
     141     6.01718    -8.65602    -7.41027
     142     6.11426     -7.8964    -8.05335
     143     5.69628    -8.24502    -8.89225
     144     5.93688    -8.50358     -9.8278
     145     5.61759    -8.10616    -10.6881
     146     5.96914    -8.74626    -11.3713
     147     5.22812    -8.34432    -11.9091
     148     5.30181    -9.30022    -12.1934
     149     5.25048    -9.29866    -11.1948
     150     5.13099    -9.86506    -12.0102
     151     5.60244    -9.01377    -12.2405
     152     6.03927    -8.11494    -12.2048
     153     6.37123    -8.09308    -13.1478
     154     6.16898    -8.84169    -13.7792
     155     6.41608    -8.43637    -14.6594
     156     6.41194    -8.42918    -15.6593
     157     6.32121    -9.42455    -15.6278
     158      7.0376    -9.64707    -16.2891
     159     6.51323    -10.2741    -16.8651
     160     6.67497    -9.28738    -16.8765
     161     7.55419    -8.85672    -17.0803
     162     8.14272    -8.68214    -17.8697
     163     8.13121    -8.64715    -16.8704
     164     7.35519     -8.6835    -16.2407
     165     7.36995    -8.67943    -15.2408
     166     7.36392    -8.64135    -16.2401
     167     7.22603    -9.46135    -15.6846
     168     7.19715    -9.56165      -14.69
     169     7.30436    -9.26195     -15.638
     170     7.67699    -9.90111    -14.9652
     171     7.39099    -9.60784    -15.8775
     172     7.92138    -8.89888    -15.4127
     173        8.89    -8.97162    -15.6504
     174     8.60271    -9.87184    -15.3231
     175     8.73713    -9.82649     -16.313
     176     8.45089    -9.94162    -17.2642
     177     9.03682    -9.21111    -16.9135
     178     8.15045    -8.92065     -17.274
     179     8.61555    -8.11849    -17.6485
     180     9.20559      -8.375     -18.414
     181     8.70467    -8.99572    -17.8108
     182     8.16418    -9.81373    -17.6141
     183     8.08291    -10.6444    -18.1649
     184     7.33505    -11.2946    -18.2986
     185     7.31949    -11.7725    -19.1769
     186     6.58399    -11.5536    -18.5358
     187     6.36189    -12.2154    -19.2518
     188      6.6327     -11.538    -18.5678
     189      6.7624    -12.0731    -17.7331
     190     6.16964    -12.8756    -17.8013
     191     6.34774     -11.928    -17.5363
     192     6.02486    -12.6044    -18.1983
     193     5.65906    -11.8875    -17.6047
     194     5.37267    -11.7098    -18.5462
     195     4.71036    -11.4117    -19.2336
     196     4.48567    -11.8758    -18.3767
     197     5.09324    -12.6577    -18.5159
     198     5.01389    -12.4412    -19.4889
     199     5.55979    -11.6076    -19.4047
     200     4.73012    -11.1723    -19.0552
     201     4.19001    -10.3746    -19.3234
     202     5.12067    -10.0503     -19.154
     203     5.40977     -9.1655    -19.5194
     204     5.90077    -10.0281     -19.641
     205     6.02781    -9.27935    -18.9905
     206     6.83869    -8.69466    -19.0157
     207     6.72418    -8.62417    -18.0248
     208     6.68452    -8.61227    -19.0239
     209     6.87855    -8.63971    -18.0433
     210     7.23015    -8.31514    -18.9214
     211     7.43707    -7.78132    -19.7413
     212      6.9987    -7.64565    -20.6298
     213     6.12648    -7.35263    -20.2382
     214     5.30836    -7.78995    -19.8648
     215     5.38591    -7.73599    -18.8692
     216     5.35262    -8.69103    -19.1638
     217     5.15956    -7.93624    -18.5369
     218      5.3005    -8.68269    -19.1873
     219     6.07996    -8.56176    -18.5726
     220     6.70222    -8.06568    -19.1781
     221     6.75675    -9.05851    -19.0717
     222     6.29968    -9.93949     -19.194
     223     6.75147    -10.7495    -18.8202
     224     7.13638    -11.1345     -19.659
     225     7.19512    -11.1565    -18.6609
     226     7.85537    -11.8914    -18.8156
     227     7.81043    -12.7202    -19.3734
     228      7.3923    -12.9959    -18.5078
     229     7.92699    -13.1314    -19.3419
     230     8.56236    -13.4287    -20.0546
     231     9.42744    -13.0682    -19.7057
     232     9.58857    -12.6105    -18.8314
     233     9.26303    -12.3217    -19.7317
     234     9.09893    -12.4017    -18.7485
     235     8.53053    -11.9221     -19.417
     236     7.77945    -12.5646    -19.5688
     237     7.52565    -13.3171    -18.9611
     238     7.54896    -13.3189    -19.9608
     239     6.58769    -13.3446    -19.6864
     240     6.78494    -12.8109    -18.8641
     241     5.95028    -13.3255     -18.668
     242     5.21323    -12.6609    -18.5455
     243     5.46571    -12.6486    -17.5779
     244      5.5175    -13.5011    -17.0578
     245       6.101    -12.7692    -16.7058
     246     6.59081    -13.6404    -16.7404
     247     5.93087    -14.2302     -16.275
     248       5.869    -13.4386    -16.8829
     249     6.01923    -13.4139    -15.8946
     250     5.62867    -12.5145    -15.6981
     251     5.08814    -12.7683     -14.896
     252     5.23067    -13.0374    -13.9435
     253     5.15968    -12.7197     -14.889
     254     5.78895     -13.231    -14.3037
     255     5.08666    -13.7679    -13.8362
     256     4.75864    -13.0733    -13.1959
     257       3.998    -13.3021    -13.8035
     258      3.4154    -13.5372    -14.5815
     259     2.44303    -13.3062    -14.5479
     260     3.13194    -13.1612     -15.258
     261     3.36993    -12.3028    -15.7126
     262     2.89598    -12.6201    -14.8912
     263     2.02727    -12.2677    -15.2392
     264     2.54761    -12.8438    -14.6088
     265     2.05994    -13.0918    -15.4459
     266     1.52477      -13.48    -16.1961
     267     1.33045    -14.1239     -15.456
     268     1.04348    -13.3462    -14.8966
     269     0.78961    -13.1037     -15.833
     270    0.622079     -12.861    -14.8774
     271   -0.310199    -12.6135    -14.6137
     272   -0.471085    -13.4115    -15.1944
     273    0.399661    -12.9563    -15.3803
     274     0.32388    -13.0673    -14.3894
     275     1.04198    -12.5156    -13.9651
     276      1.8572    -13.0815    -14.0882
     277     2.23554    -14.0072    -14.0816
     278     2.10101    -14.3479    -15.0121
     279     2.70582    -14.7409    -15.7047
     280     2.38041    -15.4118    -16.3711
     281     1.87498     -14.786    -15.7769
     282     1.49688    -15.6954    -15.6035
     283     1.23413     -15.579    -16.5613
     284     1.46709    -15.4612    -17.5267
     285     1.58433    -15.6222    -18.5066
     286     2.36155    -16.1514     -18.847
     287     2.26409    -16.8955     -18.186
     288      2.0741    -17.8701    -18.0677
     289     2.16661    -16.8753    -18.1097
     290     1.95009    -16.5067    -19.0137
     291      2.1331    -16.7952    -18.0739
     292     2.29975    -17.5968    -18.6481
     293     2.01716      -18.34    -19.2546
     294     2.68826    -17.7226    -18.8441
     295     2.06135    -18.4899    -18.7094
     296     1.89603    -18.2709     -19.671
     297     1.22414    -18.1459     -20.401
     298     1.71683    -18.4069    -21.2312
     299     0.95208    -17.7922    -21.0378
     300     1.92304    -17.6036    -21.1849
     301     1.37179    -17.9023    -21.9639
     302     1.30714    -17.7269    -20.9816
     303     1.31168    -17.5231    -20.0026
     304    0.812289    -18.1664    -20.5828
     305    0.712149    -17.4834    -19.8593
     306    0.719149    -17.4485    -20.8587
     307     1.25189     -17.552    -20.0188
     308    0.696041    -16.7211    -20.0447
     309     1.68785    -16.8154    -19.9585
     310     1.63035    -17.6658    -20.4815
     311     1.36443    -17.9489     -21.403
     312     1.49377    -18.6051    -20.6596
     313      2.4108    -18.2203    -20.5549
     314     2.33594    -17.6063    -19.7691
     315     2.50907    -18.1694     -18.961
     316      3.0629    -18.0536    -18.1365
     317       3.265    -17.8248    -17.1842
     318     3.28184    -18.1227    -18.1387
     319     3.71411    -18.3907    -17.2777
     320     3.29651    -19.0638    -16.6674
     321     3.73059     -18.164    -16.7109
     322     4.58693    -18.6684       -16.6
     323     5.12225    -18.5776    -15.7602
     324     5.75526    -18.6837    -16.5271
     325     5.84636    -19.4488    -15.8896
     326      5.7099    -19.0596    -14.9786
     327     5.38035      -19.62    -15.7384
     328     5.51762    -19.8624     -14.778
     329     6.10389    -19.0583    -14.8766
     330     6.24993    -19.0964     -13.888
     331     5.74378    -18.9355    -13.0407
     332     5.71142    -18.2339    -13.7526
     333     6.70756    -18.2147    -13.6669
     334     6.52619    -18.2738    -12.6852
     335     6.07492    -18.8398    -11.9953
     336     5.90059    -18.6729    -12.9657
     337     6.67095     -18.478    -12.3586
     338      6.8788    -18.9027    -11.4774
     339     7.80259    -18.6073    -11.2339
     340     7.54462    -19.5597    -11.0716
     341     7.77593     -19.689    -10.1073
     342     7.29441    -20.4102    -10.6054
     343     7.53599    -19.4402     -10.631
     344     7.57368    -19.4545     -9.6318
     345     7.94174    -18.6667    -9.13793
     346     8.32946    -17.9406    -8.57005
     347     8.25106    -17.8532    -7.57696
     348     7.83608     -17.058    -8.01907
     349      8.2652    -17.5856    -8.75222
     350     8.21351    -17.6288    -9.74995
     351     7.27745    -17.8591    -9.48396
     352     8.01287    -17.4934    -8.91348
     353      8.6243    -16.7022    -8.91655
     354     8.48224    -16.5331    -7.94123
     355     7.76256    -17.0046    -8.45087
     356     7.99862    -17.2248    -9.39733
     357     7.44297    -16.6898    -8.76091
     358     7.58016    -17.4247    -9.42508
     359     8.08137     -18.105    -8.89033
     360     8.04494    -18.5948    -9.76145
     361     8.09791    -19.5897      -9.847
     362     8.74956    -19.0559    -9.30812
     363     7.97774    -19.1273    -9.93994
     364     7.57907    -18.3505    -9.45248
     365     8.01576    -18.5417    -8.57341
     366     8.35579    -18.1582    -9.43208
     367     8.32659       -19.1    -9.76701
     368     8.81679    -18.5689    -9.07584
     369     8.79991    -18.5826    -10.0756
     370      9.2699    -19.1807    -10.7247
     371     8.27059    -19.2104     -10.747
     372     7.34762     -19.438    -11.0573
     373     7.71191     -18.625    -11.5114
     374      7.0257     -17.999    -11.8819
     375     7.88726    -17.8815    -11.3881
     376     7.59613    -17.6979    -12.3269
     377      7.3205    -16.7726    -12.0662
     378      6.3603    -16.9806    -12.2526
     379     6.36047    -16.9806    -11.2526
     380     6.30924    -16.8617     -10.261
     381     6.01705    -17.6838    -10.7496
     382      6.0291    -17.7425    -11.7478
     383     6.00595    -17.8269     -12.744
     384     6.06947    -18.0848    -11.7799
     385       6.869    -17.9283    -11.2001
     386     6.47075    -18.8455    -11.2125
     387     5.77742    -18.1831    -10.9287
     388     5.53461    -18.1055    -11.8957
     389     6.17136    -17.5831    -11.3285
     390     6.16222    -16.7686    -11.9087
     391     6.25076    -17.1027    -10.9703
     392     6.33903    -17.9804    -11.4413
     393     5.65474     -17.717    -12.1213
     394      5.6916    -17.5936     -13.113
     395     5.78198    -18.1584    -13.9333
     396      5.2259    -18.7091    -14.5558
     397     5.32926    -19.0827     -13.634
