# STEP 			 x 			 y 			 z
     318          12         -13          13
     319          12         -13          14
     320          12         -13          15
     321          11         -13          15
     322          12         -13          15
     323          12         -13          14
     324          11         -13          14
     325          11         -13          13
     326          11         -14          13
     327          10         -14          13
     328          10         -15          13
     329          10         -16          13
     330          11         -16          13
     331          11         -17          13
     332          11         -17          14
     333          10         -17          14
     334          11         -17          14
     335          11         -17          13
     336          10         -17          13
     337          10         -17          14
     338          10         -18          14
     339          11         -18          14
     340          11         -18          15
     341          11         -17          15
     342          11         -17          16
     343          10         -17          16
     344          10         -18          16
     345           9         -18          16
     346           9         -18          15
     347           9         -19          15
     348           9         -20          15
     349           9         -19          15
     350          10         -19          15
     351          11         -19          15
     352          11         -19          16
     353          10         -19          16
     354          10         -18          16
     355          11         -18          16
     356          12         -18          16
     357          12         -18          15
     358          11         -18          15
     359          12         -18          15
     360          12         -19          15
     361          12         -19          14
     362          13         -19          14
     363          13         -20          14
     364          13         -20          15
     365          13         -19          15
     366          14         -19          15
     367          14         -19          14
     368          13         -19          14
     369          13         -19          13
     370          13         -20          13
     371          13         -21          13
     372          13         -21          12
     373          12         -21          12
     374          12         -21          11
     375          13         -21          11
     376          12         -21          11
     377          12         -21          10
     378          12         -20          10
     379          11         -20          10
     380          11         -20           9
     381          10         -20           9
     382           9         -20           9
     383           9         -20          10
     384          10         -20          10
     385          10         -20          11
     386          10         -20          12
     387          10         -20          11
     388          10         -19          11
     389          10         -20          11
     390          10         -20          10
     391          10         -20          11
     392          10         -20          10
     393           9         -20          10
     394           9         -20          11
     395           9         -19          11
     396           9         -19          12
     397          10         -19          12
     398          11         -19          12
     399          10         -19          12
     400          10         -18          12
     401          10         -18          11
     402           9         -18          11
     403           8         -18          11
     404           8         -18          10
     405           9         -18          10
     406           9         -19          10
     407           9         -19           9
     408           9         -19           8
     409           8         -19           8
     410           8         -19           9
     411           8         -19           8
     412           7         -19           8
     413           8         -19           8
     414           8         -18           8
     415           8         -18           7
     416           9         -18           7
     417           8         -18           7
     418           8         -17           7
     419           8         -16           7
     420           8         -16           8
     421           8         -16           7
     422           8         -17           7
     423           7         -17           7
     424           8         -17           7
     425           8         -17           8
     426           8         -17           9
     427           8         -16           9
     428           7         -16           9
     429           7         -15           9
     430           6         -15           9
     431           6         -16           9
     432           6         -15           9
     433           6         -16           9
     434           6         -15           9
     435           5         -15           9
     436           4         -15           9
     437           3         -15           9
     438           3         -14           9
     439           2         -14           9
     440           2         -13           9
     441           1         -13           9
     442           1         -13           8
     443           1         -12           8
     444           1         -13           8
     445           1         -12           8
     446           1         -12           7
     447           1         -13           7
     448           1         -12           7
     449           1         -12           6
     450           0         -12           6
     451           0         -13           6
     452           0         -13           5
     453           0         -13           4
     454           0         -13           5
     455           0         -13           6
     456           1         -13           6
     457           2         -13           6
     458           2         -13           5
     459           2         -12           5
     460           2         -12           4
     461           1         -12           4
     462           1         -11           4
     463           0         -11           4
     464           0         -11           3
     465           0         -11           2
     466           0         -10           2
     467           0         -10           1
     468          -1         -10           1
     469          -2         -10           1
     470          -2         -10           2
     471          -2         -11           2
     472          -1         -11           2
     473           0         -11           2
     474           1         -11           2
     475           1         -11           3
     476           1         -10           3
     477           0         -10           3
     478           0         -11           3
     479           1         -11           3
     480           1         -11           4
     481           0         -11           4
     482           0         -10           4
     483           0          -9           4
     484           0         -10           4
     485           0         -10           5
     486           1         -10           5
     487           1         -10           6
     488           2         -10           6
     489           2         -10           5
     490           2         -11           5
     491           2         -10           5
     492           2         -10           4
     493           3         -10           4
     494           2         -10           4
     495           2          -9           4
     496           1          -9           4
     497           1          -8           4
     498           0          -8           4
     499           0          -8           5
     500           0          -9           5
     501           1          -9           5
     502           1          -9           6
     503           1          -9           5
     504           1          -9           4
     505           2          -9           4
     506           2          -9           3
     507           2          -8           3
     508           1          -8           3
     509           1          -7           3
     510           1          -7           4
     511           2          -7           4
     512           3          -7           4
     513           3          -8           4
     514           3          -7           4
     515           3          -7           3
     516           2          -7           3
     517           2          -7           4
     518           2          -8           4
     519           1          -8           4
     520           1          -8           5
     521           2          -8           5
     522           2          -7           5
     523           1          -7           5
     524           1          -7           6
     525           1          -8           6
     526           1          -9           6
     527           1         -10           6
     528           1         -10           7
     529           0         -10           7
     530          -1         -10           7
     531          -1         -11           7
     532           0         -11           7
     533           1         -11           7
     534           1         -10           7
     535           1         -10           8
     536           1          -9           8
     537           1          -9           7
     538           1         -10           7
     539           1         -10           8
     540           2         -10           8
     541           2         -10           9
     542           2         -10           8
     543           2          -9           8
     544           2         -10           8
     545           3         -10           8
     546           3         -10           9
     547           3          -9           9
     548           2          -9           9
     549           3          -9           9
     550           3          -8           9
     551           3          -8           8
     552           2          -8           8
     553           2          -7           8
     554           3          -7           8
     555           2          -7           8
     556           1          -7           8
     557           1          -8           8
     558           1          -7           8
     559           0          -7           8
     560           0          -6           8
     561           0          -5           8
     562          -1          -5           8
     563           0          -5           8
     564           0          -5           7
     565           0          -6           7
     566           0          -7           7
     567          -1          -7           7
     568          -2          -7           7
     569          -1          -7           7
     570          -1          -7           8
     571          -1          -6           8
     572          -1          -6           9
     573          -1          -5           9
     574          -1          -4           9
     575          -1          -3           9
     576          -1          -3          10
     577          -1          -4          10
     578          -1          -4          11
     579          -1          -5          11
     580          -1          -6          11
     581          -1          -5          11
     582           0          -5          11
     583           1          -5          11
     584           1          -6          11
     585           1          -5          11
     586           1          -5          12
     587           1          -5          13
     588           2          -5          13
     589           3          -5          13
     590           3          -5          12
     591           3          -5          13
     592           3          -5          14
     593           3          -5          15
     594           3          -4          15
     595           3          -4          14
     596           4          -4          14
     597           5          -4          14
     598           5          -4          15
     599           6          -4          15
     600           6          -5          15
     601           6          -6          15
     602           6          -6          14
     603           7          -6          14
     604           6          -6          14
     605           7          -6          14
     606           6          -6          14
     607           6          -6          13
     608           6          -6          12
     609           6          -7          12
     610           5          -7          12
     611           5          -6          12
     612           5          -7          12
     613           5          -7          11
     614           5          -6          11
     615           6          -6          11
     616           6          -6          10
     617           6          -6          11
     618           6          -7          11
     619           6          -8          11
     620           6          -8          12
     621           6          -8          13
     622           6          -7          13
     623           6          -6          13
     624           6          -6          14
     625           6          -7          14
     626           5          -7          14
     627           5          -6          14
     628           6          -6          14
     629           5          -6          14
     630           4          -6          14
     631           4          -6          15
     632           4          -7          15
     633           3          -7          15
     634           4          -7          15
     635           5          -7          15
     636           5          -8          15
     637           6          -8          15
     638           6          -7          15
     639           7          -7          15
     640           7          -6          15
     641           6          -6          15
     642           5          -6          15
     643           6          -6          15
     644           7          -6          15
     645           6          -6          15
     646           6          -5          15
     647           7          -5          15
     648           6          -5          15
     649           6          -6          15
     650           6          -6          16
     651           5          -6          16
     652           5          -7          16
     653           6          -7          16
     654           7          -7          16
     655           6          -7          16
     656           7          -7          16
     657           7          -6          16
     658           8          -6          16
     659           8          -7          16
     660           8          -7          17
     661           8          -6          17
     662           8          -6          18
     663           8          -6          19
     664           7          -6          19
     665           7          -6          20
     666           8          -6          20
     667           8          -6          19
     668           8          -6          18
     669           8          -7          18
     670           8          -7          19
     671           8          -7          18
     672           8          -8          18
     673           9          -8          18
     674           8          -8          18
     675           9          -8          18
     676           9          -8          19
     677           9          -7          19
     678           8          -7          19
     679           7          -7          19
     680           7          -7          20
     681           7          -7          19
     682           6          -7          19
     683           5          -7          19
     684           6          -7          19
     685           7          -7          19
     686           8          -7          19
     687           8          -7          20
     688           7          -7          20
     689           7          -7          21
     690           7          -8          21
     691           7          -8          20
     692           8          -8          20
     693           8          -9          20
     694           8          -8          20
     695           8          -7          20
     696           9          -7          20
     697           9          -7          21
     698           9          -7          22
     699           9          -6          22
     700          10          -6          22
     701          11          -6          22
     702          11          -6          21
     703          11          -6          20
     704          12          -6          20
     705          13          -6          20
     706          13          -5          20
     707          13          -5          19
     708          12          -5          19
     709          13          -5          19
     710          13          -6          19
     711          13          -6          18
     712          12          -6          18
     713          12          -6          19
     714          13          -6          19
     715          14          -6          19
     716          14          -7          19
     717          15          -7          19
     718          15          -7          18
     719          14          -7          18
     720          13          -7          18
     721          13          -8          18
     722          12          -8          18
     723          12          -8          19
     724          12          -8          18
     725          13          -8          18
     726          13          -7          18
     727          12          -7          18
     728          12          -7          17
     729          12          -7          18
     730          11          -7          18
     731          11          -8          18
     732          11          -8          17
     733          11          -9          17
     734          11          -8          17
     735          11          -8          18
     736          11          -8          19
     737          11          -8          18
     738          11          -9          18
     739          10          -9          18
     740          10          -9          17
     741          10         -10          17
     742          11         -10          17
     743          11         -10          16
     744          12         -10          16
     745          12          -9          16
     746          12          -9          15
     747          13          -9          15
     748          13          -9          14
     749          13         -10          14
     750          12         -10          14
     751          12          -9          14
     752          12         -10          14
     753          12          -9          14
     754          12          -8          14
     755          11          -8          14
     756          12          -8          14
     757          12          -7          14
     758          12          -6          14
     759          12          -7          14
     760          12          -8          14
     761          12          -8          15
     762          12          -7          15
     763          12          -6          15
     764          11          -6          15
     765          11          -6          14
     766          11          -7          14
     767          10          -7          14
     768          10          -8          14
     769          10          -8          15
     770           9          -8          15
     771          10          -8          15
     772          11          -8          15
     773          10          -8          15
     774           9          -8          15
     775           9          -8          16
     776           9          -8          15
     777           9          -8          14
     778          10          -8          14
     779          10          -7          14
     780          10          -8          14
     781          10          -7          14
     782          10          -6          14
     783          10          -6          13
     784          10          -5          13
     785          10          -5          12
     786          10          -5          11
     787          10          -5          12
     788          10          -6          12
     789          10          -6          11
     790          10          -6          12
     791           9          -6          12
     792           9          -5          12
     793          10          -5          12
     794           9          -5          12
     795           8          -5          12
     796           8          -6          12
     797           8          -6          13
     798           8          -6          12
     799           8          -6          13
     800           8          -6          14
     801           8          -6          13
     802           8          -7          13
     803           8          -7          14
     804           8          -7          15
     805           8          -7          14
     806           9          -7          14
     807          10          -7          14
     808          11          -7          14
     809          12          -7          14
     810          12          -8          14
     811          12          -7          14
     812          13          -7          14
     813          13          -6          14
     814          13          -6          13
     815          13          -5          13
     816          13          -6          13
     817          13          -6          12
     818          13          -7          12
     819          13          -7          13
     820          13          -7          12
     821          13          -8          12
     822          12          -8          12
     823          12          -7          12
     824          11          -7          12
     825          12          -7          12
     826          13          -7          12
     827          13          -7          13
     828          13          -8          13
     829          12          -8          13
     830          12          -9          13
     831          12          -8          13
     832          12          -8          12
     833          12          -9          12
     834          11          -9          12
     835          11         -10          12
     836          11         -10          13
     837          11         -10          14
     838          10         -10          14
     839          10         -10          13
     840           9         -10          13
     841           8         -10          13
     842           8         -10          14
     843           8         -10          13
     844           8         -11          13
     845           8         -12          13
     846           8         -13          13
     847           8         -14          13
     848           7         -14          13
     849           7         -14          14
     850           8         -14          14
     851           8         -15          14
     852           7         -15          14
     853           7         -14          14
     854           7         -15          14
     855           8         -15          14
     856           8         -15          15
     857           8         -15          16
     858           8         -15          17
     859           8         -14          17
     860           8         -14          16
     861           8         -14          17
     862           8         -15          17
     863           8         -15          18
     864           8         -15          19
     865           8         -14          19
     866           8         -15          19
     867           8         -16          19
     868           8         -16          20
     869           8         -15          20
     870           8         -15          21
     871           8         -16          21
     872           8         -16          22
     873           8         -16          21
     874           8         -17          21
     875           8         -18          21
     876           8         -19          21
     877           8         -19          22
     878           8         -20          22
     879           8         -21          22
     880           9         -21          22
     881           9         -20          22
     882          10         -20          22
     883           9         -20          22
     884           9         -21          22
     885           8         -21          22
     886           9         -21          22
     887           9         -20          22
     888           9         -21          22
     889           9         -20          22
     890           9         -19          22
     891           9         -19          23
     892           9         -19          24
     893           9         -18          24
     894          10         -18          24
     895          10         -18          25
     896          10         -18          24
     897          10         -18          25
     898           9         -18          25
     899           9         -19          25
     900           9         -20          25
     901           9         -20          24
     902           9         -19          24
     903           9         -19          23
     904           9         -19          24
     905           9         -20          24
     906           8         -20          24
     907           8         -20          23
     908           8         -20          22
     909           9         -20          22
     910           8         -20          22
     911           8         -20          21
     912           7         -20          21
     913           7         -19          21
     914           7         -19          20
     915           7         -19          19
     916           7         -20          19
     917           6         -20          19
     918           6         -20          18
     919           6         -19          18
     920           7         -19          18
     921           7         -19          17
     922           7         -20          17
     923           7         -20          18
     924           7         -20          17
     925           6         -20          17
     926           6         -21          17
     927           6         -22          17
     928           6         -22          16
     929           7         -22          16
     930           7         -21          16
     931           7         -20          16
     932           7         -20          15
     933           7         -19          15
     934           8         -19          15
     935           8         -20          15
     936           9         -20          15
     937          10         -20          15
     938          10         -20          16
     939          11         -20          16
     940          11         -21          16
     941          12         -21          16
     942          13         -21          16
     943          13         -21          17
     944          12         -21          17
     945          11         -21          17
     946          12         -21          17
     947          12         -21          18
     948          12         -21          17
     949          12         -20          17
     950          13         -20          17
     951          14         -20          17
     952          15         -20          17
     953          15         -21          17
     954          15         -21          18
     955          16         -21          18
     956          15         -21          18
     957          15         -20          18
     958          15         -21          18
     959          15         -22          18
     960          14         -22          18
     961          14         -21          18
     962          14         -21          19
     963          14         -21          18
     964          15         -21          18
     965          15         -20          18
     966          15         -19          18
     967          14         -19          18
     968          14         -18          18
     969          14         -19          18
     970          14         -18          18
     971          13         -18          18
     972          13         -17          18
     973          14         -17          18
     974          15         -17          18
     975          15         -18          18
     976          15         -18          17
     977          14         -18          17
     978          14         -18          16
     979          14         -18          17
     980          13         -18          17
     981          14         -18          17
     982          14         -17          17
     983          14         -17          16
     984          14         -17          15
     985          14         -17          14
     986          14         -16          14
     987          14         -16          13
     988          14         -17          13
     989          14         -17          14
     990          13         -17          14
     991          13         -18          14
     992          12         -18          14
     993          11         -18          14
     994          10         -18          14
     995           9         -18          14
     996          10         -18          14
     997           9         -18          14
     998           9         -19          14
     999           9         -19          13
    1000          10         -19          13
