#	 N_BLOCK:	ACCEPTANCE:
           1    0.331382
           2    0.332088
           3    0.332002
           4    0.332008
           5    0.331919
           6    0.332051
           7    0.332169
           8    0.332267
           9    0.332331
          10    0.332379
          11    0.332289
          12    0.332312
          13    0.332318
          14    0.332337
          15    0.332424
          16     0.33248
          17    0.332431
          18     0.33237
          19    0.332412
          20    0.332424
          21    0.332475
          22    0.332499
          23    0.332439
          24    0.332404
          25    0.332383
          26    0.332391
          27    0.332387
          28    0.332417
          29    0.332395
          30    0.332424
          31    0.332414
          32    0.332399
          33    0.332357
          34    0.332362
          35    0.332378
          36    0.332362
          37    0.332361
          38    0.332369
          39    0.332365
          40    0.332373
          41    0.332373
          42    0.332382
          43    0.332386
          44    0.332369
          45    0.332383
          46    0.332368
          47    0.332389
          48    0.332376
          49    0.332381
          50    0.332366
