#	 N_BLOCK:	ACCEPTANCE:
           1    0.476363
           2    0.476569
           3    0.476693
           4    0.476411
           5    0.476425
           6    0.476577
           7    0.476479
           8    0.476392
           9    0.476384
          10    0.476367
          11    0.476239
          12    0.476278
          13    0.476267
          14    0.476264
          15    0.476245
          16    0.476234
          17    0.476241
          18    0.476215
          19    0.476217
          20    0.476224
          21    0.476262
          22    0.476295
          23    0.476307
          24    0.476255
          25    0.476256
          26    0.476252
          27    0.476268
          28    0.476281
          29    0.476282
          30    0.476292
          31    0.476257
          32     0.47626
          33    0.476262
          34    0.476265
          35    0.476267
          36    0.476265
          37     0.47625
          38    0.476263
          39    0.476278
          40    0.476289
          41    0.476295
          42    0.476294
          43    0.476303
          44    0.476285
          45    0.476291
          46    0.476281
          47    0.476292
          48    0.476302
          49    0.476314
          50    0.476321
