#	 N_BLOCK:	ACCEPTANCE:
           1    0.240421
           2    0.239711
           3    0.239433
           4    0.239495
           5    0.239574
           6    0.239537
           7    0.239615
           8    0.239553
           9    0.239533
          10    0.239572
          11    0.239532
          12    0.239534
          13     0.23951
          14    0.239506
          15    0.239557
          16    0.239548
          17    0.239516
          18    0.239506
          19    0.239531
          20    0.239504
          21    0.239554
          22    0.239571
          23     0.23952
          24    0.239513
          25    0.239508
          26    0.239509
          27    0.239545
          28    0.239627
          29    0.239651
          30    0.239673
          31     0.23967
          32    0.239668
          33    0.239648
          34    0.239663
          35    0.239708
          36    0.239729
          37    0.239736
          38    0.239706
          39    0.239706
          40    0.239736
          41    0.239742
          42    0.239736
          43    0.239741
          44    0.239731
          45    0.239752
          46     0.23976
          47     0.23977
          48    0.239766
          49    0.239788
          50    0.239801
