#	 N_BLOCK:	ACCEPTANCE:
           1     0.60802
           2    0.607732
           3    0.607829
           4    0.607782
           5    0.607719
           6    0.607846
           7    0.607894
           8    0.607852
           9    0.607807
          10    0.607883
          11    0.607857
          12    0.607909
          13    0.607944
          14     0.60798
          15    0.607976
          16    0.607961
          17    0.607968
          18    0.607963
          19    0.607955
          20    0.607968
          21    0.607976
          22    0.607992
          23    0.608001
          24    0.607988
          25    0.607971
          26    0.607957
          27    0.607963
          28    0.607968
          29    0.607957
          30    0.607972
          31    0.607978
          32    0.607994
          33    0.608009
          34    0.608019
          35    0.608025
          36    0.608021
          37    0.608024
          38    0.608031
          39    0.608043
          40    0.608063
          41    0.608065
          42    0.608077
          43     0.60808
          44    0.608057
          45    0.608063
          46    0.608068
          47    0.608083
          48    0.608096
          49    0.608097
          50      0.6081
