#	 N_BLOCK:	ACCEPTANCE:
           1    0.525926
           2    0.525772
           3    0.525737
           4    0.525716
           5    0.525731
           6    0.525848
           7    0.525843
           8     0.52574
           9    0.525668
          10    0.525777
          11    0.525763
          12    0.525776
          13    0.525725
          14    0.525727
          15    0.525743
          16     0.52572
          17    0.525727
          18    0.525723
          19    0.525711
          20    0.525741
          21    0.525783
          22    0.525771
          23    0.525804
          24     0.52578
          25    0.525754
          26    0.525757
          27    0.525756
          28    0.525784
          29    0.525773
          30    0.525786
          31    0.525768
          32    0.525782
          33    0.525801
          34    0.525801
          35    0.525803
          36    0.525822
          37     0.52583
          38    0.525825
          39    0.525826
          40    0.525836
          41    0.525846
          42    0.525847
          43    0.525841
          44    0.525843
          45     0.52585
          46    0.525847
          47    0.525851
          48    0.525864
          49    0.525883
          50    0.525878
