#	 N_BLOCK:	ACCEPTANCE:
           1   0.0925956
           2    0.092335
           3   0.0934498
           4   0.0936969
           5   0.0936846
           6   0.0936541
           7   0.0936065
           8   0.0933738
           9   0.0935236
          10   0.0937208
          11   0.0934905
          12   0.0935485
          13   0.0933875
          14   0.0933179
          15   0.0933106
          16   0.0932806
          17   0.0932061
          18   0.0932772
          19   0.0932837
          20   0.0932582
          21   0.0933616
          22   0.0934325
          23   0.0933858
          24   0.0933978
          25     0.09341
          26   0.0934064
          27   0.0934751
          28   0.0934851
          29   0.0934361
          30   0.0934582
          31   0.0935978
          32   0.0935828
          33   0.0935618
          34   0.0935591
          35   0.0935847
          36   0.0936278
          37    0.093561
          38   0.0936222
          39   0.0936743
          40   0.0937269
          41   0.0937585
          42   0.0937847
          43   0.0937967
          44   0.0937798
          45   0.0937718
          46   0.0937816
          47   0.0937942
          48   0.0937882
          49   0.0938488
          50   0.0938613
