#	 N_BLOCK:	ACCEPTANCE:
           1    0.671838
           2    0.671924
           3    0.672011
           4    0.672086
           5    0.672086
           6    0.672158
           7    0.672159
           8    0.672121
           9    0.672119
          10    0.672183
          11    0.672176
          12    0.672182
          13    0.672257
          14    0.672304
          15    0.672319
          16    0.672331
          17    0.672335
          18    0.672326
          19     0.67233
          20     0.67232
          21    0.672349
          22    0.672374
          23    0.672386
          24     0.67237
          25    0.672354
          26    0.672366
          27    0.672356
          28    0.672349
          29    0.672366
          30    0.672353
          31    0.672341
          32    0.672358
          33    0.672368
          34    0.672374
          35    0.672378
          36     0.67238
          37    0.672377
          38    0.672365
          39    0.672371
          40    0.672381
          41    0.672391
          42    0.672392
          43    0.672393
          44    0.672388
          45    0.672382
          46    0.672387
          47    0.672396
          48    0.672403
          49    0.672412
          50    0.672419
