#	 N_BLOCK:	ACCEPTANCE:
           1    0.591064
           2    0.590704
           3    0.590785
           4    0.590832
           5    0.590755
           6    0.590778
           7    0.590733
           8     0.59067
           9    0.590617
          10    0.590649
          11    0.590598
          12    0.590625
          13     0.59061
          14    0.590584
          15    0.590606
          16     0.59058
          17    0.590585
          18    0.590551
          19     0.59053
          20    0.590561
          21    0.590556
          22    0.590577
          23    0.590597
          24     0.59058
          25    0.590574
          26    0.590581
          27    0.590575
          28    0.590589
          29    0.590567
          30    0.590571
          31    0.590579
          32    0.590598
          33    0.590611
          34    0.590604
          35    0.590607
          36    0.590608
          37    0.590596
          38    0.590607
          39    0.590615
          40    0.590632
          41    0.590638
          42    0.590645
          43    0.590659
          44    0.590636
          45    0.590647
          46    0.590648
          47    0.590662
          48    0.590675
          49    0.590667
          50    0.590676
