#	 N_BLOCK:	ACCEPTANCE:
           1    0.657264
           2    0.657213
           3    0.657178
           4     0.65717
           5    0.657153
           6    0.657274
           7    0.657296
           8    0.657227
           9     0.65722
          10    0.657253
          11    0.657259
          12    0.657248
          13     0.65725
          14    0.657243
          15    0.657255
          16    0.657241
          17    0.657263
          18    0.657275
          19    0.657283
          20    0.657282
          21    0.657296
          22    0.657325
          23    0.657339
          24    0.657318
          25    0.657302
          26    0.657295
          27    0.657288
          28     0.65729
          29    0.657303
          30    0.657306
          31    0.657301
          32    0.657308
          33    0.657313
          34    0.657314
          35    0.657318
          36    0.657326
          37    0.657312
          38    0.657302
          39    0.657314
          40    0.657331
          41    0.657332
          42    0.657331
          43    0.657326
          44     0.65732
          45    0.657321
          46     0.65733
          47     0.65734
          48    0.657353
          49    0.657363
          50    0.657361
