#	 N_BLOCK:	ACCEPTANCE:
           1    0.387507
           2    0.387965
           3    0.388105
           4     0.38802
           5    0.387761
           6     0.38775
           7    0.387775
           8    0.387686
           9    0.387668
          10    0.387691
          11    0.387704
          12    0.387737
          13    0.387808
          14    0.387756
          15    0.387777
          16    0.387836
          17    0.387796
          18    0.387735
          19    0.387761
          20    0.387825
          21    0.387877
          22     0.38787
          23    0.387872
          24    0.387824
          25    0.387819
          26    0.387826
          27    0.387836
          28    0.387881
          29    0.387866
          30    0.387871
          31    0.387833
          32    0.387829
          33    0.387836
          34     0.38785
          35    0.387881
          36     0.38787
          37    0.387875
          38    0.387851
          39    0.387841
          40    0.387843
          41    0.387831
          42    0.387812
          43    0.387804
          44    0.387815
          45    0.387826
          46    0.387826
          47    0.387831
          48     0.38783
          49    0.387832
          50    0.387829
