#	 N_BLOCK:	ACCEPTANCE:
           1   0.0841406
           2   0.0827156
           3   0.0831294
           4   0.0825833
           5   0.0822247
           6    0.082013
           7   0.0820865
           8   0.0820832
           9   0.0818958
          10   0.0821054
          11   0.0820253
          12   0.0820356
          13   0.0819988
          14   0.0819932
          15   0.0818809
          16   0.0820086
          17   0.0817902
          18   0.0818017
          19    0.081862
          20    0.081973
          21   0.0819558
          22    0.082064
          23   0.0820775
          24   0.0821118
          25   0.0821037
          26   0.0820839
          27   0.0821259
          28   0.0820613
          29   0.0820355
          30   0.0820413
          31   0.0821029
          32   0.0821684
          33   0.0821107
          34   0.0820721
          35   0.0820242
          36   0.0819824
          37   0.0819569
          38   0.0819603
          39   0.0820411
          40   0.0820174
          41    0.082012
          42   0.0820382
          43   0.0820547
          44   0.0820721
          45   0.0820507
          46   0.0820378
          47   0.0820358
          48   0.0820289
          49   0.0820298
          50   0.0820428
