#	 N_BLOCK:	ACCEPTANCE:
           1   0.0668446
           2   0.0665854
           3   0.0672881
           4   0.0670697
           5    0.066457
           6   0.0660548
           7   0.0658774
           8   0.0656854
           9   0.0656966
          10   0.0657299
          11   0.0654062
          12    0.065297
          13   0.0651801
          14   0.0650831
          15   0.0649297
          16   0.0649774
          17   0.0649336
          18   0.0649767
          19   0.0649372
          20   0.0650176
          21   0.0650044
          22   0.0650523
          23   0.0651026
          24   0.0651022
          25   0.0650662
          26   0.0651044
          27   0.0651423
          28   0.0651301
          29   0.0651134
          30   0.0650661
          31   0.0651589
          32    0.065155
          33   0.0651384
          34   0.0651735
          35   0.0651686
          36   0.0652024
          37   0.0651939
          38   0.0651616
          39   0.0652224
          40   0.0652924
          41    0.065321
          42   0.0653128
          43   0.0653384
          44   0.0653552
          45   0.0653554
          46   0.0653982
          47   0.0653851
          48   0.0653573
          49   0.0653644
          50    0.065392
