TEMPERATURE:	 	FINAL_TE:	ERROR:
         2.5   -0.379887 6.75428e-05
       2.475   -0.383311 6.62159e-05
        2.45   -0.386768 8.07165e-05
       2.425    -0.39031 7.14286e-05
         2.4   -0.394006 6.95027e-05
       2.375    -0.39772  7.6883e-05
        2.35   -0.401489 7.33043e-05
       2.325   -0.405372 8.05321e-05
         2.3   -0.409321  7.4604e-05
       2.275   -0.413243 7.12286e-05
        2.25   -0.417304 7.72512e-05
       2.225   -0.421444 7.51818e-05
         2.2   -0.425591 7.37953e-05
       2.175   -0.429794 7.42172e-05
        2.15   -0.434194 7.42609e-05
       2.125   -0.438627 6.75638e-05
         2.1   -0.443116 7.30343e-05
       2.075   -0.447734 7.64185e-05
        2.05   -0.452383 6.95802e-05
       2.025   -0.457184 7.49827e-05
           2   -0.462074 7.56575e-05
       1.975   -0.466962 6.30425e-05
        1.95   -0.472007 6.59693e-05
       1.925   -0.477269 6.75179e-05
         1.9   -0.482518  6.0599e-05
       1.875   -0.487869 6.90768e-05
        1.85     -0.4933 6.91073e-05
       1.825   -0.498962 6.72392e-05
         1.8   -0.504649 7.25706e-05
       1.775   -0.510442 7.01997e-05
        1.75   -0.516324 7.37401e-05
       1.725   -0.522486  8.1322e-05
         1.7   -0.528541 8.00402e-05
       1.675   -0.534959 8.52352e-05
        1.65   -0.541352 7.42523e-05
       1.625   -0.547836 7.54195e-05
         1.6   -0.554568 7.60287e-05
       1.575   -0.561435 7.43431e-05
        1.55    -0.56841 6.76534e-05
       1.525   -0.575572  8.4121e-05
         1.5   -0.582743 7.48807e-05
       1.475   -0.590173 8.38869e-05
        1.45   -0.597701 7.48077e-05
       1.425   -0.605336 7.84954e-05
         1.4   -0.613236 8.14765e-05
       1.375   -0.621304 8.15528e-05
        1.35   -0.629599 7.77468e-05
       1.325    -0.63788 7.46737e-05
         1.3   -0.646377 7.89459e-05
       1.275    -0.65509 8.65964e-05
        1.25   -0.664085 8.22328e-05
       1.225   -0.673023 8.67885e-05
         1.2   -0.682215 8.53349e-05
       1.175   -0.691574 8.93921e-05
        1.15   -0.701031 9.86221e-05
       1.125    -0.71075 0.000102413
         1.1   -0.720667 0.000102062
       1.075   -0.730703 0.000114299
        1.05   -0.740903 0.000115087
       1.025   -0.751148 0.000118199
           1   -0.761574 0.000103671
       0.975   -0.772189 0.000106679
        0.95   -0.782794 0.000117883
       0.925    -0.79356 0.000105397
         0.9   -0.804459  0.00012955
       0.875   -0.815277 0.000124839
        0.85   -0.826313 0.000124425
       0.825   -0.837331 0.000138374
         0.8   -0.848323 0.000154107
       0.775   -0.859369 0.000139878
        0.75   -0.870379 0.000160671
       0.725   -0.881192 0.000152012
         0.7   -0.891957 0.000150945
       0.675   -0.902942 0.000146412
        0.65   -0.913629 0.000180184
       0.625    -0.92459 0.000197932
         0.6   -0.935205 0.000210938
       0.575   -0.945736 0.000213652
        0.55   -0.955983 0.000244492
       0.525   -0.965638 0.000187448
         0.5   -0.974185 0.000217377
