#	 N_BLOCK:	ACCEPTANCE:
           1   0.0585274
           2   0.0566431
           3   0.0578835
           4   0.0574592
           5    0.057146
           6   0.0570609
           7   0.0567412
           8   0.0564509
           9   0.0564932
          10   0.0565641
          11   0.0562725
          12   0.0560541
          13   0.0559084
          14   0.0559355
          15   0.0558404
          16    0.055806
          17    0.055788
          18   0.0558501
          19   0.0557326
          20   0.0557826
          21   0.0557941
          22   0.0559072
          23   0.0559603
          24   0.0559476
          25   0.0560049
          26   0.0559839
          27   0.0560128
          28   0.0560028
          29   0.0560305
          30   0.0560178
          31   0.0560536
          32   0.0560352
          33   0.0560397
          34   0.0560755
          35   0.0560455
          36    0.056039
          37   0.0560149
          38   0.0559425
          39   0.0559955
          40   0.0560664
          41   0.0561182
          42   0.0560897
          43   0.0561229
          44   0.0561164
          45   0.0560503
          46   0.0560784
          47    0.056099
          48   0.0560496
          49   0.0560432
          50   0.0561047
