#	 N_BLOCK:	ACCEPTANCE:
           1    0.500119
           2    0.500002
           3    0.500233
           4    0.500003
           5    0.500047
           6    0.500113
           7    0.500056
           8    0.499988
           9    0.499895
          10    0.499946
          11    0.499889
          12    0.499905
          13    0.499892
          14    0.499875
          15    0.499873
          16    0.499869
          17    0.499879
          18     0.49985
          19    0.499857
          20    0.499874
          21    0.499926
          22    0.499913
          23    0.499919
          24    0.499901
          25    0.499889
          26    0.499888
          27    0.499886
          28    0.499916
          29    0.499908
          30    0.499918
          31    0.499901
          32    0.499901
          33    0.499926
          34    0.499924
          35    0.499914
          36    0.499927
          37    0.499918
          38    0.499925
          39    0.499915
          40    0.499925
          41    0.499933
          42    0.499939
          43    0.499944
          44     0.49994
          45    0.499948
          46    0.499948
          47     0.49996
          48    0.499973
          49    0.499976
          50    0.499981
