#	 N_BLOCK:	ACCEPTANCE:
           1    0.577742
           2    0.577694
           3    0.577642
           4    0.577693
           5     0.57776
           6    0.577806
           7    0.577778
           8    0.577717
           9    0.577612
          10    0.577667
          11    0.577665
          12    0.577691
          13    0.577666
          14    0.577653
          15    0.577643
          16    0.577617
          17    0.577646
          18    0.577628
          19    0.577607
          20    0.577601
          21    0.577623
          22    0.577649
          23    0.577656
          24    0.577634
          25    0.577647
          26    0.577646
          27    0.577628
          28    0.577638
          29    0.577607
          30    0.577623
          31    0.577619
          32    0.577631
          33    0.577651
          34    0.577649
          35    0.577649
          36    0.577654
          37    0.577632
          38    0.577642
          39    0.577642
          40     0.57767
          41    0.577665
          42    0.577673
          43    0.577669
          44    0.577659
          45    0.577669
          46    0.577664
          47    0.577686
          48    0.577707
          49    0.577704
          50    0.577707
