#	 N_BLOCK:	ACCEPTANCE:
           1    0.310386
           2    0.310463
           3    0.310089
           4    0.310044
           5    0.309993
           6    0.309921
           7    0.309921
           8     0.30999
           9    0.310041
          10    0.310111
          11    0.310148
          12    0.310165
          13    0.310213
          14    0.310281
          15    0.310295
          16    0.310362
          17     0.31035
          18    0.310278
          19    0.310279
          20    0.310268
          21    0.310314
          22    0.310334
          23    0.310306
          24    0.310283
          25    0.310278
          26    0.310285
          27    0.310285
          28    0.310298
          29    0.310303
          30    0.310356
          31    0.310336
          32    0.310318
          33     0.31029
          34    0.310281
          35    0.310293
          36    0.310303
          37      0.3103
          38    0.310281
          39    0.310286
          40      0.3103
          41    0.310287
          42    0.310277
          43    0.310282
          44    0.310279
          45    0.310302
          46    0.310298
          47     0.31029
          48    0.310298
          49    0.310317
          50    0.310326
