#	 N_BLOCK:	ACCEPTANCE:
           1    0.622056
           2     0.62187
           3    0.621849
           4    0.621721
           5    0.621734
           6    0.621758
           7    0.621767
           8    0.621721
           9    0.621688
          10     0.62176
          11    0.621779
          12    0.621793
          13    0.621834
          14    0.621857
          15    0.621873
          16    0.621866
          17    0.621856
          18    0.621875
          19    0.621875
          20    0.621868
          21    0.621864
          22    0.621899
          23    0.621904
          24    0.621908
          25    0.621904
          26    0.621912
          27    0.621914
          28    0.621913
          29    0.621917
          30    0.621912
          31    0.621915
          32    0.621926
          33    0.621941
          34    0.621943
          35    0.621939
          36    0.621945
          37    0.621934
          38    0.621935
          39    0.621949
          40    0.621963
          41    0.621974
          42    0.621975
          43    0.621976
          44    0.621957
          45    0.621953
          46    0.621952
          47    0.621964
          48    0.621973
          49     0.62198
          50     0.62198
