#	 N_BLOCK:	ACCEPTANCE:
           1    0.637777
           2    0.637461
           3    0.637492
           4    0.637406
           5    0.637322
           6    0.637377
           7    0.637352
           8    0.637311
           9    0.637314
          10    0.637387
          11    0.637408
          12    0.637429
          13    0.637411
          14    0.637415
          15    0.637406
          16    0.637408
          17    0.637394
          18    0.637419
          19    0.637416
          20    0.637424
          21    0.637427
          22    0.637456
          23    0.637468
          24     0.63745
          25    0.637435
          26    0.637435
          27    0.637426
          28    0.637426
          29    0.637428
          30    0.637421
          31    0.637423
          32    0.637433
          33    0.637437
          34    0.637439
          35    0.637445
          36    0.637451
          37    0.637445
          38    0.637444
          39     0.63745
          40    0.637467
          41    0.637471
          42    0.637471
          43    0.637471
          44     0.63745
          45    0.637454
          46    0.637458
          47    0.637469
          48    0.637476
          49    0.637485
          50    0.637492
