#	 N_BLOCK:	ACCEPTANCE:
           1    0.451224
           2    0.451386
           3    0.451241
           4    0.451095
           5    0.450987
           6    0.451082
           7    0.451042
           8    0.450967
           9    0.450887
          10    0.450867
          11    0.450768
          12    0.450798
          13     0.45076
          14    0.450757
          15    0.450779
          16    0.450753
          17     0.45076
          18    0.450739
          19    0.450738
          20    0.450739
          21    0.450804
          22    0.450806
          23    0.450826
          24     0.45076
          25    0.450752
          26    0.450767
          27    0.450789
          28    0.450825
          29    0.450818
          30    0.450821
          31    0.450796
          32    0.450772
          33    0.450795
          34    0.450796
          35    0.450814
          36    0.450805
          37    0.450799
          38    0.450795
          39    0.450794
          40    0.450795
          41    0.450792
          42    0.450781
          43    0.450782
          44    0.450793
          45    0.450808
          46     0.45081
          47    0.450827
          48    0.450838
          49    0.450851
          50    0.450838
