#	 N_BLOCK:	ACCEPTANCE:
           1    0.560295
           2    0.560088
           3    0.560169
           4    0.560052
           5    0.560058
           6    0.560142
           7     0.56008
           8    0.560001
           9    0.560006
          10    0.560079
          11    0.560057
          12    0.560061
          13     0.56004
          14    0.560005
          15    0.559986
          16    0.559928
          17     0.55995
          18    0.559961
          19    0.559944
          20    0.559943
          21    0.559935
          22    0.559963
          23    0.559977
          24    0.559961
          25    0.559975
          26    0.559988
          27     0.55996
          28    0.559979
          29     0.55997
          30    0.559974
          31    0.559975
          32    0.559991
          33    0.560012
          34    0.560011
          35    0.560013
          36    0.560022
          37    0.560004
          38    0.560001
          39    0.560005
          40    0.560021
          41    0.560023
          42    0.560024
          43     0.56002
          44    0.560019
          45    0.560018
          46    0.560014
          47    0.560031
          48    0.560047
          49    0.560046
          50    0.560045
