#	 N_BLOCK:	ACCEPTANCE:
           1    0.360507
           2    0.361387
           3     0.36135
           4    0.361365
           5    0.361215
           6    0.361342
           7    0.361446
           8    0.361437
           9    0.361424
          10    0.361461
          11    0.361464
          12    0.361551
          13    0.361587
          14    0.361559
          15    0.361566
          16    0.361615
          17    0.361617
          18     0.36157
          19    0.361596
          20    0.361606
          21    0.361641
          22    0.361639
          23    0.361649
          24    0.361582
          25    0.361578
          26    0.361564
          27    0.361556
          28    0.361594
          29    0.361578
          30    0.361578
          31    0.361567
          32    0.361576
          33    0.361587
          34    0.361606
          35     0.36163
          36     0.36165
          37    0.361644
          38    0.361615
          39      0.3616
          40    0.361604
          41    0.361611
          42    0.361603
          43    0.361619
          44    0.361623
          45    0.361632
          46    0.361637
          47    0.361636
          48    0.361659
          49     0.36167
          50    0.361673
