#	 N_BLOCK:	ACCEPTANCE:
           1    0.185974
           2    0.186821
           3    0.186614
           4    0.186554
           5     0.18672
           6    0.186651
           7      0.1868
           8     0.18683
           9    0.186942
          10    0.186964
          11    0.186841
          12    0.186881
          13    0.186785
          14    0.186821
          15    0.186861
          16    0.186841
          17    0.186684
          18    0.186673
          19    0.186642
          20    0.186637
          21    0.186686
          22    0.186688
          23    0.186659
          24    0.186597
          25    0.186653
          26    0.186668
          27    0.186688
          28    0.186679
          29    0.186719
          30    0.186795
          31    0.186822
          32    0.186799
          33    0.186757
          34    0.186735
          35    0.186744
          36    0.186744
          37    0.186743
          38    0.186737
          39    0.186763
          40    0.186778
          41    0.186753
          42    0.186796
          43    0.186829
          44    0.186852
          45    0.186866
          46    0.186892
          47    0.186901
          48    0.186896
          49    0.186918
          50    0.186893
