#	 N_BLOCK:	ACCEPTANCE:
           1   0.0418044
           2   0.0399294
           3   0.0402038
           4   0.0401694
           5   0.0397119
           6   0.0397646
           7   0.0395861
           8   0.0392132
           9    0.039199
          10   0.0393662
          11   0.0390907
          12   0.0389104
          13   0.0389188
          14    0.038882
          15   0.0387848
          16   0.0387528
          17   0.0387919
          18   0.0388674
          19   0.0387638
          20   0.0388693
          21   0.0388294
          22    0.038901
          23   0.0388539
          24   0.0388576
          25   0.0389348
          26   0.0389343
          27   0.0390067
          28   0.0390286
          29   0.0390302
          30   0.0390015
          31   0.0390126
          32   0.0389871
          33   0.0389954
          34   0.0389653
          35   0.0389454
          36   0.0389391
          37   0.0389359
          38   0.0389343
          39   0.0390036
          40   0.0389617
          41   0.0389936
          42   0.0389632
          43   0.0389971
          44   0.0389996
          45   0.0389521
          46   0.0389981
          47    0.038993
          48    0.038959
          49   0.0389523
          50   0.0389797
