#	 N_BLOCK:	ACCEPTANCE:
           1    0.504434
           2    0.504456
           3    0.504591
           4    0.504394
           5    0.504423
           6    0.504466
           7    0.504412
           8    0.504349
           9    0.504303
          10    0.504358
          11    0.504305
          12    0.504328
          13    0.504305
          14    0.504266
          15    0.504274
          16    0.504276
          17    0.504294
          18    0.504257
          19    0.504262
          20    0.504262
          21    0.504328
          22    0.504329
          23    0.504361
          24    0.504337
          25    0.504321
          26     0.50431
          27    0.504301
          28    0.504333
          29    0.504346
          30    0.504357
          31    0.504338
          32    0.504345
          33    0.504368
          34    0.504361
          35    0.504345
          36    0.504353
          37    0.504362
          38    0.504368
          39    0.504356
          40    0.504366
          41    0.504374
          42    0.504371
          43    0.504369
          44    0.504363
          45    0.504371
          46    0.504376
          47    0.504383
          48    0.504399
          49     0.50441
          50    0.504411
