#	 N_BLOCK:	ACCEPTANCE:
           1    0.159082
           2    0.159432
           3    0.159808
           4      0.1595
           5    0.159487
           6    0.159513
           7    0.159657
           8    0.159598
           9    0.159783
          10    0.159799
          11    0.159855
          12    0.159819
          13    0.159756
          14    0.159907
          15    0.160004
          16    0.159873
          17    0.159722
          18     0.15977
          19    0.159805
          20    0.159706
          21    0.159735
          22    0.159808
          23    0.159758
          24    0.159721
          25    0.159761
          26    0.159759
          27     0.15981
          28    0.159863
          29    0.159765
          30     0.15976
          31    0.159817
          32    0.159778
          33    0.159757
          34     0.15973
          35    0.159745
          36    0.159821
          37    0.159817
          38    0.159831
          39    0.159888
          40    0.159874
          41    0.159861
          42    0.159878
          43    0.159882
          44    0.159922
          45    0.159936
          46    0.159939
          47    0.159969
          48    0.159966
          49    0.159991
          50    0.159999
