#	 N_BLOCK:	ACCEPTANCE:
           1    0.168973
           2    0.169247
           3    0.169365
           4    0.168924
           5    0.169213
           6    0.169231
           7    0.169426
           8    0.169284
           9    0.169348
          10    0.169466
          11    0.169451
          12    0.169379
          13    0.169278
          14    0.169345
          15    0.169383
          16    0.169312
          17    0.169154
          18    0.169187
          19    0.169145
          20    0.169046
          21    0.169084
          22    0.169118
          23    0.169062
          24    0.169039
          25    0.169114
          26    0.169079
          27    0.169164
          28    0.169245
          29    0.169148
          30    0.169202
          31    0.169213
          32    0.169171
          33    0.169136
          34    0.169099
          35    0.169094
          36    0.169144
          37    0.169134
          38     0.16915
          39    0.169171
          40    0.169164
          41    0.169155
          42    0.169159
          43    0.169184
          44    0.169209
          45    0.169215
          46     0.16923
          47    0.169236
          48    0.169255
          49    0.169264
          50     0.16927
