#	 N_BLOCK:	ACCEPTANCE:
           1    0.673174
           2    0.673119
           3    0.673227
           4     0.67318
           5    0.673186
           6     0.67325
           7    0.673206
           8    0.673157
           9    0.673183
          10    0.673221
          11    0.673221
          12    0.673219
          13    0.673291
          14    0.673326
          15    0.673338
          16    0.673361
          17    0.673372
          18    0.673359
          19    0.673359
          20    0.673372
          21    0.673388
          22     0.67342
          23    0.673418
          24    0.673398
          25    0.673375
          26     0.67338
          27    0.673376
          28     0.67337
          29    0.673374
          30    0.673352
          31    0.673354
          32    0.673356
          33    0.673366
          34    0.673368
          35    0.673366
          36    0.673358
          37    0.673351
          38    0.673353
          39     0.67336
          40    0.673366
          41    0.673371
          42    0.673372
          43    0.673377
          44    0.673379
          45    0.673369
          46    0.673372
          47    0.673388
          48    0.673388
          49    0.673398
          50    0.673407
