#	 N_BLOCK:	ACCEPTANCE:
           1    0.287239
           2    0.287679
           3    0.287303
           4    0.287216
           5    0.287345
           6     0.28715
           7    0.287196
           8    0.287296
           9    0.287361
          10    0.287382
          11    0.287404
          12    0.287439
          13    0.287412
          14    0.287434
          15    0.287431
          16    0.287439
          17    0.287412
          18    0.287365
          19     0.28739
          20    0.287415
          21    0.287455
          22     0.28746
          23    0.287419
          24    0.287412
          25    0.287358
          26    0.287356
          27    0.287332
          28    0.287353
          29    0.287374
          30    0.287425
          31      0.2874
          32    0.287381
          33    0.287334
          34    0.287333
          35    0.287361
          36    0.287364
          37    0.287344
          38    0.287299
          39    0.287292
          40    0.287294
          41    0.287289
          42    0.287296
          43    0.287295
          44    0.287297
          45     0.28733
          46     0.28732
          47    0.287332
          48    0.287325
          49    0.287342
          50    0.287331
