#	 N_BLOCK:	ACCEPTANCE:
           1    0.418427
           2    0.418341
           3    0.418316
           4    0.418133
           5    0.417922
           6    0.417998
           7    0.417947
           8     0.41789
           9    0.417856
          10    0.417924
          11    0.417892
          12    0.417925
          13     0.41795
          14    0.417885
          15    0.417894
          16    0.417941
          17    0.417959
          18    0.417961
          19    0.417959
          20    0.417949
          21    0.417983
          22    0.417997
          23    0.417997
          24    0.417946
          25    0.417947
          26    0.417953
          27    0.417956
          28    0.418012
          29    0.418003
          30    0.417997
          31    0.417955
          32     0.41794
          33     0.41797
          34    0.417974
          35    0.417987
          36    0.417982
          37    0.417996
          38    0.417973
          39    0.417969
          40    0.417971
          41    0.417968
          42    0.417952
          43    0.417958
          44    0.417955
          45    0.417961
          46    0.417953
          47    0.417962
          48    0.417987
          49    0.417995
          50    0.417989
