#	 N_BLOCK:	ACCEPTANCE:
           1    0.663514
           2    0.663653
           3    0.663839
           4    0.663743
           5    0.663759
           6    0.663875
           7    0.663849
           8    0.663849
           9    0.663824
          10    0.663892
          11    0.663913
          12    0.663905
          13    0.663923
          14    0.663939
          15    0.663949
          16    0.663942
          17    0.663945
          18    0.663937
          19    0.663944
          20    0.663932
          21    0.663955
          22    0.663972
          23    0.663964
          24    0.663941
          25    0.663939
          26    0.663942
          27    0.663936
          28     0.66394
          29    0.663946
          30    0.663953
          31    0.663942
          32    0.663951
          33    0.663953
          34    0.663952
          35    0.663957
          36    0.663964
          37    0.663951
          38    0.663938
          39    0.663946
          40    0.663953
          41    0.663953
          42    0.663953
          43    0.663953
          44    0.663944
          45    0.663942
          46    0.663942
          47    0.663957
          48    0.663969
          49    0.663989
          50    0.663993
