#	 N_BLOCK:	ACCEPTANCE:
           1    0.429812
           2     0.42971
           3    0.429631
           4    0.429464
           5    0.429271
           6    0.429312
           7    0.429237
           8    0.429179
           9    0.429156
          10    0.429224
          11    0.429203
          12    0.429251
          13    0.429252
          14    0.429241
          15    0.429273
          16    0.429273
          17    0.429287
          18    0.429305
          19    0.429312
          20    0.429328
          21     0.42936
          22    0.429387
          23    0.429376
          24    0.429337
          25    0.429344
          26    0.429343
          27    0.429366
          28    0.429403
          29    0.429393
          30    0.429406
          31    0.429376
          32    0.429382
          33    0.429411
          34    0.429403
          35    0.429419
          36     0.42941
          37     0.42942
          38    0.429403
          39    0.429402
          40    0.429407
          41    0.429415
          42    0.429405
          43    0.429418
          44    0.429406
          45    0.429415
          46    0.429419
          47    0.429436
          48    0.429457
          49    0.429459
          50    0.429462
