#	 N_BLOCK:	ACCEPTANCE:
           1     0.65836
           2    0.658458
           3    0.658566
           4     0.65845
           5    0.658374
           6    0.658471
           7    0.658452
           8    0.658452
           9    0.658419
          10    0.658466
          11    0.658463
          12    0.658459
          13    0.658505
          14    0.658493
          15    0.658529
          16    0.658534
          17    0.658568
          18    0.658571
          19     0.65857
          20    0.658565
          21    0.658572
          22    0.658609
          23    0.658617
          24    0.658603
          25    0.658572
          26    0.658565
          27    0.658564
          28     0.65856
          29    0.658561
          30    0.658554
          31    0.658551
          32    0.658567
          33    0.658569
          34    0.658561
          35    0.658552
          36    0.658549
          37    0.658542
          38    0.658539
          39    0.658549
          40    0.658562
          41    0.658564
          42    0.658555
          43    0.658552
          44    0.658537
          45    0.658539
          46    0.658541
          47    0.658558
          48    0.658567
          49    0.658576
          50     0.65858
