#	 N_BLOCK:	ACCEPTANCE:
           1    0.538012
           2    0.537758
           3     0.53768
           4    0.537622
           5    0.537683
           6    0.537767
           7    0.537756
           8     0.53772
           9    0.537677
          10    0.537731
          11    0.537699
          12    0.537758
          13    0.537752
          14    0.537765
          15     0.53777
          16    0.537728
          17    0.537736
          18     0.53772
          19    0.537695
          20    0.537731
          21    0.537763
          22    0.537769
          23    0.537801
          24    0.537783
          25    0.537777
          26    0.537783
          27    0.537762
          28    0.537774
          29    0.537759
          30    0.537774
          31     0.53778
          32      0.5378
          33     0.53782
          34    0.537826
          35    0.537826
          36    0.537846
          37    0.537829
          38    0.537829
          39    0.537838
          40    0.537855
          41    0.537854
          42    0.537857
          43    0.537853
          44     0.53785
          45    0.537851
          46    0.537851
          47    0.537862
          48    0.537879
          49    0.537883
          50    0.537891
