#	 N_BLOCK:	ACCEPTANCE:
           1    0.596842
           2    0.596711
           3    0.596701
           4    0.596741
           5    0.596796
           6    0.596866
           7    0.596831
           8    0.596812
           9    0.596766
          10      0.5968
          11    0.596753
          12     0.59677
          13    0.596816
          14    0.596804
          15    0.596819
          16    0.596807
          17     0.59681
          18    0.596797
          19    0.596794
          20    0.596813
          21    0.596816
          22    0.596835
          23    0.596845
          24    0.596825
          25    0.596809
          26    0.596799
          27    0.596793
          28    0.596815
          29    0.596798
          30    0.596811
          31    0.596823
          32    0.596827
          33    0.596851
          34     0.59685
          35    0.596841
          36    0.596848
          37    0.596828
          38    0.596834
          39    0.596843
          40    0.596863
          41     0.59687
          42    0.596877
          43    0.596883
          44    0.596868
          45     0.59688
          46    0.596874
          47      0.5969
          48     0.59692
          49     0.59692
          50    0.596922
