#	 N_BLOCK:	ACCEPTANCE:
           1    0.557022
           2    0.556808
           3    0.556805
           4    0.556759
           5    0.556765
           6    0.556789
           7    0.556806
           8    0.556718
           9     0.55664
          10    0.556706
          11    0.556706
          12    0.556721
          13    0.556705
          14    0.556685
          15    0.556711
          16    0.556651
          17    0.556667
          18    0.556669
          19    0.556652
          20    0.556678
          21    0.556689
          22    0.556709
          23    0.556719
          24    0.556725
          25    0.556709
          26    0.556717
          27    0.556702
          28    0.556717
          29      0.5567
          30    0.556708
          31    0.556713
          32    0.556736
          33    0.556758
          34    0.556763
          35    0.556763
          36    0.556778
          37    0.556764
          38    0.556768
          39     0.55679
          40    0.556814
          41    0.556809
          42    0.556824
          43    0.556837
          44    0.556822
          45    0.556826
          46    0.556824
          47    0.556833
          48    0.556847
          49    0.556844
          50    0.556845
