#	 N_BLOCK:	ACCEPTANCE:
           1    0.517406
           2     0.51751
           3    0.517441
           4    0.517414
           5    0.517451
           6    0.517489
           7    0.517422
           8    0.517355
           9    0.517269
          10    0.517349
          11    0.517317
          12    0.517336
          13    0.517282
          14    0.517295
          15    0.517279
          16    0.517264
          17    0.517273
          18    0.517255
          19    0.517234
          20    0.517259
          21    0.517324
          22    0.517339
          23    0.517358
          24    0.517361
          25    0.517342
          26    0.517351
          27    0.517345
          28    0.517369
          29    0.517356
          30    0.517365
          31    0.517356
          32    0.517364
          33    0.517388
          34    0.517397
          35      0.5174
          36    0.517413
          37    0.517411
          38    0.517416
          39    0.517426
          40    0.517429
          41    0.517434
          42    0.517439
          43    0.517431
          44    0.517431
          45    0.517438
          46    0.517435
          47    0.517442
          48    0.517454
          49    0.517466
          50     0.51746
