#	 N_BLOCK:	ACCEPTANCE:
           1    0.495446
           2    0.495789
           3    0.495745
           4    0.495557
           5    0.495615
           6    0.495561
           7    0.495491
           8     0.49537
           9    0.495353
          10    0.495365
          11    0.495274
          12    0.495277
          13    0.495254
          14    0.495254
          15    0.495229
          16    0.495174
          17    0.495197
          18     0.49519
          19     0.49517
          20    0.495203
          21    0.495238
          22    0.495251
          23    0.495281
          24    0.495239
          25    0.495229
          26    0.495251
          27    0.495251
          28    0.495262
          29    0.495262
          30    0.495262
          31    0.495242
          32     0.49526
          33     0.49529
          34    0.495296
          35    0.495307
          36    0.495322
          37    0.495305
          38     0.49531
          39    0.495313
          40     0.49532
          41    0.495326
          42    0.495325
          43    0.495322
          44    0.495311
          45     0.49532
          46    0.495312
          47    0.495323
          48    0.495342
          49    0.495352
          50    0.495358
