#	 N_BLOCK:	ACCEPTANCE:
           1     0.00628
           2   0.0063558
           3   0.0057236
           4   0.0058321
           5  0.00606896
           6   0.0062128
           7  0.00620971
           8  0.00615055
           9   0.0063948
          10   0.0063502
          11   0.0062828
          12  0.00626337
          13  0.00627197
          14   0.0062604
          15  0.00631528
          16  0.00639723
          17  0.00640129
          18  0.00649173
          19  0.00654958
          20   0.0066251
          21   0.0065963
          22  0.00659027
          23  0.00655358
          24  0.00653415
          25  0.00655878
          26  0.00653549
          27  0.00653367
          28  0.00649096
          29  0.00654994
          30  0.00655968
          31  0.00654566
          32  0.00656016
          33  0.00655298
          34  0.00656105
          35   0.0065755
          36  0.00660169
          37  0.00664547
          38  0.00665937
          39  0.00668485
          40   0.0066984
          41  0.00671747
          42  0.00675174
          43  0.00671771
          44  0.00668168
          45  0.00671052
          46   0.0066876
          47  0.00668774
          48  0.00665869
          49  0.00667291
          50  0.00672044
