#	 N_BLOCK:	ACCEPTANCE:
           1    0.573824
           2    0.573688
           3    0.573806
           4    0.573771
           5    0.573795
           6    0.573859
           7    0.573835
           8    0.573747
           9    0.573689
          10    0.573721
          11    0.573765
          12    0.573764
          13     0.57375
          14     0.57373
          15    0.573742
          16    0.573716
          17    0.573741
          18    0.573741
          19    0.573739
          20     0.57374
          21    0.573746
          22    0.573763
          23    0.573785
          24    0.573776
          25    0.573775
          26    0.573782
          27    0.573761
          28    0.573776
          29    0.573765
          30    0.573768
          31    0.573773
          32    0.573795
          33    0.573801
          34      0.5738
          35    0.573802
          36    0.573815
          37    0.573792
          38    0.573803
          39    0.573809
          40    0.573838
          41    0.573835
          42    0.573841
          43    0.573848
          44    0.573832
          45    0.573836
          46    0.573841
          47    0.573849
          48    0.573859
          49    0.573866
          50    0.573867
