#	 N_BLOCK:	ACCEPTANCE:
           1    0.567485
           2    0.567435
           3    0.567489
           4    0.567429
           5    0.567468
           6    0.567578
           7    0.567576
           8    0.567528
           9    0.567475
          10    0.567501
          11     0.56748
          12    0.567512
          13    0.567454
          14    0.567443
          15    0.567425
          16    0.567374
          17    0.567398
          18    0.567394
          19    0.567373
          20    0.567384
          21    0.567398
          22    0.567392
          23    0.567419
          24    0.567404
          25    0.567402
          26    0.567405
          27    0.567395
          28    0.567401
          29    0.567381
          30    0.567395
          31    0.567412
          32    0.567417
          33    0.567432
          34    0.567443
          35    0.567439
          36    0.567458
          37    0.567445
          38    0.567446
          39    0.567458
          40    0.567495
          41    0.567489
          42    0.567494
          43    0.567494
          44     0.56749
          45    0.567494
          46    0.567496
          47    0.567519
          48    0.567533
          49    0.567531
          50     0.56753
