#	 N_BLOCK:	ACCEPTANCE:
           1    0.213831
           2    0.213954
           3      0.2141
           4    0.214103
           5    0.213864
           6    0.213943
           7    0.214043
           8    0.213948
           9    0.213942
          10    0.213968
          11    0.213965
          12    0.213865
          13    0.213793
          14     0.21385
          15    0.213854
          16    0.213826
          17    0.213793
          18    0.213786
          19    0.213797
          20    0.213726
          21    0.213776
          22    0.213789
          23    0.213785
          24    0.213724
          25    0.213757
          26    0.213771
          27    0.213779
          28    0.213824
          29    0.213829
          30    0.213886
          31     0.21389
          32    0.213873
          33     0.21386
          34    0.213878
          35    0.213885
          36    0.213894
          37    0.213906
          38    0.213852
          39    0.213857
          40    0.213875
          41    0.213868
          42    0.213859
          43    0.213861
          44    0.213875
          45    0.213861
          46    0.213892
          47    0.213922
          48    0.213907
          49    0.213923
          50    0.213923
