#	 N_BLOCK:	ACCEPTANCE:
           1    0.101984
           2    0.101675
           3    0.103088
           4    0.103083
           5    0.103091
           6    0.103072
           7    0.102834
           8    0.102554
           9    0.102812
          10    0.103029
          11    0.102837
          12    0.102806
          13    0.102665
          14    0.102627
          15    0.102742
          16    0.102709
          17    0.102633
          18    0.102685
          19     0.10269
          20    0.102644
          21    0.102733
          22    0.102807
          23    0.102785
          24    0.102786
          25    0.102821
          26    0.102902
          27    0.102978
          28    0.103041
          29    0.103016
          30    0.103065
          31    0.103167
          32     0.10319
          33    0.103195
          34    0.103196
          35    0.103183
          36    0.103224
          37    0.103193
          38    0.103216
          39    0.103245
          40    0.103317
          41     0.10331
          42    0.103339
          43    0.103368
          44    0.103349
          45    0.103342
          46     0.10333
          47    0.103378
          48    0.103369
          49    0.103396
          50      0.1034
