#	 N_BLOCK:	ACCEPTANCE:
           1     0.24943
           2    0.248877
           3    0.248397
           4    0.248236
           5    0.248268
           6    0.248179
           7    0.248189
           8    0.248128
           9    0.248095
          10    0.248128
          11    0.248037
          12    0.248053
          13    0.248036
          14    0.247996
          15    0.248024
          16    0.248007
          17    0.247934
          18    0.247935
          19    0.247957
          20    0.247945
          21    0.248005
          22    0.248011
          23    0.247969
          24    0.247986
          25    0.247998
          26    0.248011
          27    0.248038
          28    0.248084
          29    0.248087
          30    0.248119
          31    0.248113
          32    0.248101
          33    0.248091
          34    0.248078
          35    0.248137
          36    0.248169
          37    0.248181
          38    0.248146
          39    0.248161
          40    0.248184
          41    0.248215
          42    0.248212
          43    0.248226
          44    0.248224
          45    0.248247
          46     0.24825
          47    0.248269
          48     0.24827
          49    0.248287
          50    0.248288
