#	 N_BLOCK:	ACCEPTANCE:
           1   0.0425264
           2    0.042295
           3   0.0418145
           4   0.0410785
           5   0.0407701
           6   0.0409401
           7   0.0410322
           8    0.041051
           9   0.0409656
          10   0.0411311
          11   0.0408857
          12   0.0407282
          13   0.0406021
          14   0.0403197
          15   0.0402111
          16   0.0402441
          17   0.0401892
          18   0.0401126
          19   0.0399993
          20   0.0399002
          21   0.0399204
          22   0.0399818
          23   0.0399834
          24   0.0399635
          25   0.0400071
          26   0.0399885
          27   0.0400749
          28   0.0400676
          29   0.0402087
          30   0.0402346
          31   0.0402499
          32   0.0402516
          33   0.0401726
          34   0.0401158
          35   0.0400966
          36   0.0400808
          37   0.0401112
          38   0.0400619
          39   0.0400861
          40   0.0401274
          41   0.0401578
          42   0.0401387
          43    0.040144
          44   0.0401244
          45   0.0401204
          46   0.0401253
          47   0.0400772
          48   0.0400199
          49    0.040021
          50   0.0400733
