# BLOCK:		ACTUAL_HAM:	 	AVERAG_HAM:			ERROR:
     150       -0.424287       -0.441154      0.00198629
     151       -0.457331       -0.441261      0.00197604
     152       -0.470291        -0.44145      0.00197223
     153        -0.44648       -0.441483      0.00195966
     154       -0.441607       -0.441484      0.00194697
     155       -0.422794       -0.441364      0.00193816
     156       -0.478446         -0.4416       0.0019402
     157       -0.452311       -0.441668      0.00192908
     158       -0.445616       -0.441693      0.00191707
     159       -0.456244       -0.441784      0.00190722
     160        -0.47498        -0.44199      0.00190652
     161       -0.448597       -0.442031      0.00189515
     162       -0.464888       -0.442171       0.0018887
     163         -0.4263       -0.442074      0.00187964
     164       -0.438803       -0.442054      0.00186832
     165        -0.38233       -0.441695      0.00189156
     166        -0.46873       -0.441857      0.00188716
     167       -0.428242       -0.441776      0.00187764
     168       -0.478623       -0.441994      0.00187919
     169       -0.441909       -0.441993       0.0018681
     170       -0.432739       -0.441939      0.00185793
     171        -0.43564       -0.441902      0.00184746
     172       -0.474404        -0.44209      0.00184634
     173        -0.42992        -0.44202      0.00183703
     174       -0.394237       -0.441747       0.0018468
     175        -0.42078       -0.441628      0.00184013
     176       -0.453855       -0.441697      0.00183101
     177       -0.433899       -0.441653      0.00182122
     178       -0.454894       -0.441727      0.00181253
     179       -0.431817       -0.441672      0.00180327
     180       -0.469134       -0.441824      0.00179969
     181       -0.488723       -0.442082      0.00180823
     182        -0.48247       -0.442302      0.00181181
     183       -0.447704       -0.442332      0.00180218
     184        -0.45558       -0.442403      0.00179384
     185       -0.441289       -0.442397      0.00178418
     186         -0.4229       -0.442293      0.00177767
     187       -0.436592       -0.442263      0.00176845
     188        -0.45045       -0.442306       0.0017596
     189       -0.463321       -0.442417      0.00175381
     190       -0.449799       -0.442455      0.00174503
     191       -0.441238       -0.442449      0.00173593
     192       -0.437096       -0.442421      0.00172714
     193       -0.444578       -0.442432      0.00171825
     194       -0.397712       -0.442203      0.00172473
     195       -0.468624       -0.442338      0.00172119
     196       -0.451788       -0.442386       0.0017131
     197       -0.465739       -0.442504      0.00170851
     198       -0.410778       -0.442344      0.00170736
     199       -0.461594       -0.442441      0.00170152
     200        -0.46178       -0.442537      0.00169577
     201       -0.399727       -0.442325      0.00170061
     202       -0.438848       -0.442308       0.0016923
     203       -0.459345       -0.442391      0.00168605
     204       -0.440491       -0.442382      0.00167783
     205       -0.422607       -0.442286      0.00167243
     206       -0.425667       -0.442206      0.00166626
     207       -0.469407       -0.442336      0.00166338
     208       -0.456468       -0.442404      0.00165678
     209       -0.399726       -0.442201      0.00166135
     210       -0.420841         -0.4421      0.00165656
     211       -0.426197       -0.442025      0.00165043
     212       -0.430588       -0.441971      0.00164354
     213       -0.422475        -0.44188      0.00163838
     214       -0.425418       -0.441803      0.00163254
     215       -0.477739        -0.44197      0.00163345
     216       -0.449951       -0.442006      0.00162632
     217       -0.432683       -0.441964      0.00161941
     218       -0.467909       -0.442082      0.00161635
     219       -0.438454       -0.442066      0.00160907
     220       -0.434816       -0.442033      0.00160211
     221       -0.435035       -0.442001      0.00159519
     222        -0.42687       -0.441933      0.00158947
     223       -0.475816       -0.442085      0.00158957
     224       -0.474653       -0.442229      0.00158909
     225       -0.467017       -0.442339      0.00158584
     226       -0.455662       -0.442398      0.00157993
     227       -0.448084       -0.442423      0.00157318
     228       -0.413627       -0.442297      0.00157134
     229       -0.465642       -0.442399      0.00156778
     230       -0.430436       -0.442347      0.00156184
     231       -0.442246       -0.442346      0.00155509
     232        -0.42926        -0.44229      0.00154942
     233       -0.448147       -0.442315      0.00154299
     234        -0.43609       -0.442289      0.00153664
     235       -0.451986        -0.44233      0.00153066
     236        -0.37775       -0.442057      0.00154836
     237        -0.47324       -0.442188      0.00154739
     238        -0.42684       -0.442124      0.00154224
     239       -0.455137       -0.442178      0.00153676
     240       -0.457526       -0.442242       0.0015317
     241       -0.447873       -0.442265      0.00152553
     242       -0.448608       -0.442291      0.00151946
     243       -0.480996        -0.44245      0.00152152
     244       -0.444099       -0.442457      0.00151531
     245       -0.454555       -0.442506      0.00150994
     246       -0.476313       -0.442643      0.00151003
     247       -0.467535       -0.442743      0.00150727
     248       -0.481145       -0.442897      0.00150911
     249       -0.451537       -0.442932      0.00150346
     250       -0.438257       -0.442913      0.00149757
     251       -0.422963       -0.442834      0.00149372
     252       -0.416764       -0.442731      0.00149136
     253       -0.456991       -0.442787      0.00148654
     254       -0.462432       -0.442864       0.0014827
     255       -0.445188       -0.442873      0.00147693
     256       -0.471033       -0.442983      0.00147524
     257       -0.428996       -0.442929      0.00147051
     258        -0.46766       -0.443024      0.00146793
     259       -0.431283       -0.442979      0.00146298
     260       -0.472217       -0.443091      0.00146166
     261        -0.46755       -0.443184      0.00145906
     262       -0.443851       -0.443187       0.0014535
     263       -0.440492       -0.443177      0.00144802
     264       -0.464204       -0.443256      0.00144473
     265       -0.449695        -0.44328      0.00143949
     266       -0.420908       -0.443196      0.00143653
     267       -0.469089       -0.443293      0.00143442
     268       -0.462072       -0.443363      0.00143078
     269       -0.466838        -0.44345      0.00142812
     270       -0.477241       -0.443575       0.0014283
     271       -0.478111       -0.443702      0.00142869
     272       -0.453811       -0.443739      0.00142393
     273       -0.447064       -0.443751      0.00141877
     274       -0.405444       -0.443611      0.00142045
     275       -0.445042       -0.443617      0.00141531
     276       -0.451831       -0.443646       0.0014105
     277       -0.440733       -0.443636      0.00140545
     278       -0.414505       -0.443531       0.0014043
     279       -0.464585       -0.443607      0.00140129
     280       -0.467576       -0.443692       0.0013989
     281       -0.416282       -0.443595      0.00139731
     282       -0.482002        -0.44373      0.00139896
     283        -0.39176       -0.443547      0.00140599
     284       -0.414395       -0.443445      0.00140478
     285       -0.469587       -0.443536      0.00140284
     286       -0.435715       -0.443509      0.00139821
     287       -0.408882       -0.443389      0.00139852
     288       -0.493484       -0.443562      0.00140441
     289       -0.428758       -0.443511      0.00140049
     290       -0.457643        -0.44356      0.00139651
     291        -0.47458       -0.443666      0.00139577
     292       -0.450755        -0.44369      0.00139121
     293       -0.434608       -0.443659      0.00138681
     294       -0.459042       -0.443712      0.00138309
     295       -0.425934       -0.443651      0.00137972
     296       -0.484192       -0.443788      0.00138182
     297       -0.466165       -0.443863      0.00137922
     298       -0.473941       -0.443964      0.00137828
     299       -0.444776       -0.443966      0.00137368
     300       -0.426952        -0.44391      0.00137027
     301        -0.41567       -0.443816      0.00136893
     302       -0.443089       -0.443814       0.0013644
     303       -0.446255       -0.443822      0.00135993
     304        -0.44213       -0.443816      0.00135548
     305       -0.392538       -0.443649      0.00136139
     306       -0.465994       -0.443722       0.0013589
     307       -0.435894       -0.443696      0.00135472
     308       -0.473643       -0.443793       0.0013538
     309       -0.425106       -0.443733      0.00135077
     310       -0.434316       -0.443703      0.00134676
     311       -0.463394       -0.443766      0.00134392
     312       -0.411768       -0.443663      0.00134352
     313       -0.434915       -0.443636      0.00133952
     314       -0.444579       -0.443639      0.00133527
     315       -0.463721       -0.443702      0.00133255
     316       -0.446115        -0.44371      0.00132836
     317       -0.451392       -0.443734       0.0013244
     318       -0.458431        -0.44378      0.00132104
     319       -0.450845       -0.443802      0.00131709
     320       -0.450592       -0.443823      0.00131315
     321       -0.433763       -0.443792      0.00130944
     322        -0.38899       -0.443622      0.00131636
     323       -0.428525       -0.443576      0.00131312
     324       -0.460383       -0.443627      0.00131009
     325       -0.420501       -0.443556        0.001308
     326       -0.450668       -0.443578      0.00130417
     327       -0.442976       -0.443576      0.00130019
     328        -0.46365       -0.443637      0.00129767
     329       -0.436975       -0.443617      0.00129389
     330       -0.478689       -0.443723      0.00129432
     331       -0.452286       -0.443749      0.00129067
     332       -0.444458       -0.443751      0.00128679
     333       -0.437206       -0.443731      0.00128308
     334       -0.414508       -0.443644      0.00128222
     335       -0.451027       -0.443666      0.00127858
     336       -0.456508       -0.443704      0.00127535
     337       -0.483723       -0.443823      0.00127707
     338       -0.465588       -0.443887      0.00127492
     339        -0.45327       -0.443915      0.00127146
     340       -0.426796       -0.443864      0.00126872
     341       -0.458001       -0.443906      0.00126568
     342       -0.444054       -0.443906      0.00126199
     343       -0.393107       -0.443758      0.00126695
     344       -0.425245       -0.443705      0.00126441
     345       -0.469906        -0.44378      0.00126302
     346       -0.417475       -0.443705      0.00126166
     347       -0.399216       -0.443577      0.00126451
     348        -0.36562       -0.443353      0.00128051
     349       -0.424461       -0.443299      0.00127799
     350       -0.445236       -0.443305      0.00127435
     351       -0.435061       -0.443282      0.00127094
     352       -0.435713        -0.44326      0.00126752
     353       -0.487632       -0.443385      0.00127013
     354       -0.445213       -0.443391      0.00126656
     355       -0.479644       -0.443492       0.0012671
     356       -0.436139       -0.443472      0.00126371
     357       -0.463523       -0.443528      0.00126142
     358       -0.436877       -0.443509      0.00125804
     359       -0.433917       -0.443483      0.00125482
     360       -0.472014       -0.443562      0.00125383
     361       -0.448049       -0.443574      0.00125043
     362       -0.454802       -0.443605      0.00124736
     363       -0.451466       -0.443627      0.00124412
     364       -0.469511       -0.443698      0.00124273
     365       -0.462609       -0.443749       0.0012404
     366       -0.423957       -0.443695       0.0012382
     367       -0.415576       -0.443619      0.00123719
     368       -0.446195       -0.443626      0.00123385
     369       -0.419149        -0.44356      0.00123229
     370       -0.482312       -0.443664      0.00123339
     371       -0.463593       -0.443718      0.00123124
     372        -0.39072       -0.443576      0.00123613
     373       -0.458447       -0.443615      0.00123346
     374       -0.443478       -0.443615      0.00123016
     375       -0.368726       -0.443416      0.00124295
     376       -0.447635       -0.443427       0.0012397
     377       -0.462044       -0.443476       0.0012374
     378       -0.457519       -0.443513      0.00123468
     379       -0.459175       -0.443555      0.00123212
     380       -0.460397       -0.443599      0.00122968
     381        -0.49053       -0.443722      0.00123259
     382       -0.401963       -0.443613      0.00123419
     383       -0.480687       -0.443709      0.00123476
     384       -0.458226       -0.443747      0.00123212
     385       -0.465606       -0.443804      0.00123023
     386       -0.458886       -0.443843      0.00122766
     387       -0.455304       -0.443872      0.00122485
     388       -0.448494       -0.443884      0.00122176
     389       -0.413659       -0.443806      0.00122108
     390       -0.448642       -0.443819      0.00121802
     391       -0.457681       -0.443854      0.00121542
     392       -0.470748       -0.443923      0.00121426
     393       -0.441676       -0.443917      0.00121118
     394       -0.445492       -0.443921      0.00120812
