# STEP: 				 T: 				 MU: 				 SIGMA: 		  ENERGY: 		 ENERGY_BEST: 		 ERROR:
      88         1.53534        0.341682        0.754206       -0.155767       -0.402158      0.00167039
      89         1.53073        0.745152        0.772246       -0.346709       -0.402158      0.00204719
      90         1.52614         0.46264        0.976771       -0.232897       -0.402158      0.00325868
      91         1.52156        0.371682        0.970496       -0.249613       -0.402158      0.00277558
      92           1.517        0.795692         1.07267        0.321136       -0.402158       0.0101046
      93         1.51245        0.795692         1.07267        0.321136       -0.402158       0.0162763
      94         1.50791        0.118587        0.736785      -0.0169456       -0.402158      0.00211724
      95         1.50338        0.754772        0.979757      -0.0111051       -0.402158      0.00638852
      96         1.49887        0.754772        0.979757      -0.0111051       -0.402158       0.0218526
      97         1.49438        0.754772        0.979757      -0.0111051       -0.402158      0.00788074
      98         1.48989         1.09023         1.06448         1.46727       -0.402158       0.0186898
      99         1.48542         1.09023         1.06448         1.46727       -0.402158       0.0272746
     100         1.48097        0.398533        0.920243       -0.255125       -0.402158      0.00225649
     101         1.47653        0.199001         1.22125       0.0151238       -0.402158      0.00759273
     102          1.4721       0.0425997         1.28114        0.123923       -0.402158       0.0104751
     103         1.46768        0.215584         1.09869       -0.183629       -0.402158      0.00446859
     104         1.46328        0.077596         1.43496        0.722132       -0.402158       0.0168311
     105         1.45889         0.34145         1.30625         0.32934       -0.402158       0.0118034
     106         1.45451         0.34145         1.30625         0.32934       -0.402158       0.0272306
     107         1.45015         0.34145         1.30625         0.32934       -0.402158       0.0266168
     108          1.4458         0.15894          1.1558        -0.13071       -0.402158      0.00537121
     109         1.44146        0.525255         0.88928        -0.27175       -0.402158      0.00267061
     110         1.43713      0.00167402        0.551084        0.517777       -0.402158      0.00356363
     111         1.43282        0.484402        0.549485       -0.104221       -0.402158      0.00168064
     112         1.42852        0.484402        0.549485       -0.104221       -0.402158      0.00706147
     113         1.42424         1.08646        0.548087      -0.0899035       -0.402158      0.00159434
     114         1.41997        0.872847        0.451423      -0.0440521       -0.402158      0.00310584
     115         1.41571        0.872847        0.451423      -0.0440521       -0.402158      0.00560519
     116         1.41146        0.781533        0.293758         1.74724       -0.402158       0.0104463
     117         1.40722        0.117463        0.396154         1.26562       -0.402158      0.00633831
     118           1.403        0.394826        0.581071       0.0111888       -0.402158      0.00213966
     119         1.39879        0.909431        0.455528      -0.0541763       -0.402158      0.00304602
     120          1.3946         0.64905        0.675377        -0.36843       -0.402158     0.000976177
     121         1.39041        0.374323        0.393607        0.407052       -0.402158      0.00296882
