# DISTANCE:		AVE_GOFR:	 ERROR:
         292     1.06639  0.00191438
         293     1.06585  0.00176608
         294       1.066  0.00160403
         295     1.06274  0.00164595
         296     1.06334  0.00161331
         297     1.06296   0.0015116
         298      1.0618  0.00154024
         299     1.06048  0.00185052
         300     1.06263  0.00147852
         301      1.0597  0.00160007
         302      1.0619  0.00146188
         303     1.06078  0.00137456
         304     1.06003  0.00158817
         305     1.05977  0.00153376
         306      1.0609  0.00154724
         307     1.05857  0.00163997
         308     1.05612  0.00169777
         309     1.06063  0.00143603
         310     1.05579  0.00153976
         311     1.05549  0.00157371
         312     1.05631  0.00147161
         313     1.06045  0.00169875
         314     1.05733  0.00155272
         315     1.05839  0.00154945
         316     1.05638  0.00157557
         317     1.05338  0.00158863
         318     1.05642  0.00146217
         319     1.05623  0.00145381
         320     1.05468  0.00147562
         321      1.0558  0.00151731
         322     1.05701  0.00153114
         323     1.05584  0.00130571
         324     1.05545  0.00130425
         325     1.05767  0.00146528
         326     1.05527  0.00146163
         327     1.05398  0.00141792
         328     1.05437  0.00130616
         329     1.05468  0.00152554
         330     1.05258  0.00143777
         331     1.05331  0.00137807
         332     1.05233  0.00143049
         333     1.05251  0.00131987
         334      1.0485  0.00131104
         335     1.05147   0.0014071
         336     1.05132  0.00134943
         337     1.05363  0.00128914
         338     1.05146  0.00158689
         339     1.04873  0.00139431
         340     1.05003  0.00140483
         341     1.04976  0.00142221
         342     1.04997  0.00140049
         343     1.04679   0.0015242
         344     1.04714  0.00118306
         345     1.04621  0.00163322
         346     1.04777  0.00146167
         347     1.04532  0.00140467
         348     1.04688  0.00125232
         349     1.04239  0.00125152
         350     1.04466  0.00126689
         351     1.04572  0.00128906
         352     1.04432  0.00137035
         353     1.04634  0.00137063
         354     1.04511  0.00127911
         355     1.04213  0.00127985
         356     1.04193  0.00125545
         357     1.04163  0.00130224
         358     1.04131   0.0012691
         359     1.03956  0.00118839
         360     1.03981  0.00122347
         361     1.03992  0.00127858
         362     1.03835  0.00124376
         363     1.03572  0.00117586
         364     1.03833  0.00118231
         365     1.03993  0.00135271
         366     1.03758  0.00129235
         367     1.03709   0.0013787
         368     1.03426  0.00133669
         369     1.02968  0.00125984
         370     1.03318  0.00137952
         371     1.03224  0.00136229
         372     1.03318  0.00107213
         373     1.03041  0.00131929
         374     1.03199  0.00126955
         375     1.03244  0.00138949
         376     1.02786  0.00121138
         377     1.03197  0.00141476
         378     1.03096  0.00119745
         379     1.02961  0.00122696
         380     1.02884  0.00125681
         381     1.02681  0.00113218
         382     1.02744  0.00106061
         383     1.02666  0.00115474
         384     1.02655  0.00113139
         385     1.02502  0.00116501
         386     1.02561  0.00120026
         387     1.02645  0.00120395
         388     1.02415  0.00107156
         389     1.02457  0.00116581
         390     1.02482  0.00119098
         391     1.02284  0.00113598
         392     1.02557  0.00106201
         393     1.02528  0.00117031
         394     1.01996  0.00118772
         395     1.02103  0.00121267
         396     1.02211  0.00128762
         397     1.02117  0.00115804
         398      1.0196  0.00108282
         399     1.01952  0.00106977
         400       1.019  0.00117146
         401     1.01765  0.00113139
         402     1.01683  0.00111738
         403     1.01757  0.00115412
         404     1.01679  0.00116355
         405     1.01513  0.00105467
         406      1.0173  0.00105407
         407     1.01511   0.0010493
         408     1.01446  0.00107028
         409     1.01626  0.00127392
         410     1.01498  0.00113395
         411       1.015  0.00113626
         412     1.01342  0.00126997
         413     1.01183  0.00108118
         414     1.01431  0.00112599
         415     1.01366  0.00102895
         416     1.01349  0.00104835
         417     1.01236  0.00120302
         418     1.01238  0.00120202
         419     1.01049  0.00100388
         420     1.01152  0.00112658
         421     1.01057  0.00114652
         422     1.01072  0.00108728
         423      1.0113  0.00110024
         424     1.00912  0.00108944
         425     1.01116 0.000980865
         426     1.00913  0.00109425
         427     1.01093  0.00110573
         428      1.0075  0.00114176
         429     1.00755  0.00105967
         430     1.01001  0.00117747
         431     1.00839  0.00112921
         432     1.00689  0.00105476
         433     1.00922  0.00109855
         434     1.00956  0.00107059
         435     1.00915  0.00103076
         436     1.00502  0.00111403
         437      1.0071 0.000893955
         438     1.00783  0.00105942
         439     1.00579  0.00109226
         440     1.00535  0.00099683
         441     1.00676  0.00107091
         442     1.00425  0.00106061
         443     1.00646 0.000981582
         444     1.00563 0.000972216
         445     1.00429  0.00119655
         446      1.0061 0.000990645
         447     1.00447 0.000973387
         448     1.00473 0.000935978
         449     1.00544 0.000955116
         450     1.00383 0.000979488
         451     1.00547  0.00106718
         452     1.00493  0.00095339
         453     1.00371  0.00101191
         454     1.00386 0.000945389
         455     1.00238 0.000887939
         456     1.00297  0.00109278
         457     1.00375  0.00100229
         458     1.00383  0.00107085
         459     1.00216  0.00106572
         460     1.00194 0.000910932
         461     1.00395 0.000939678
         462     1.00179  0.00100214
         463     1.00059  0.00108532
         464     1.00095 0.000963167
         465     1.00232 0.000935449
         466    0.998973  0.00107646
         467     1.00124 0.000975916
         468     1.00122 0.000882271
         469    0.998863  0.00085689
         470     1.00081 0.000931135
         471     1.00216  0.00100594
         472    0.999716 0.000930944
         473    0.998961  0.00097815
         474       1.001 0.000935432
         475     1.00188 0.000944973
         476     1.00006 0.000965891
         477    0.998344  0.00103165
         478    0.998573   0.0010584
         479    0.999518   0.0010575
         480    0.999025  0.00086944
         481     1.00125  0.00100471
         482    0.998585 0.000913356
         483     1.00114  0.00085684
         484    0.997499 0.000945714
         485    0.999626 0.000924941
         486    0.996581 0.000941172
         487    0.997188 0.000985745
         488    0.998469  0.00092935
         489    0.997019 0.000932499
         490    0.997551   0.0009078
         491    0.998126 0.000944045
         492    0.997273 0.000938893
         493    0.998895  0.00090407
         494    0.997805 0.000964546
         495    0.995425 0.000923742
         496    0.997948  0.00085803
         497    0.996354 0.000892251
         498    0.997647 0.000997548
         499    0.996006 0.000875501
         500    0.997974  0.00090887
         501     0.99744 0.000890636
         502    0.997271 0.000881745
         503    0.997554 0.000889246
         504    0.998136 0.000870295
         505    0.996516 0.000821537
         506    0.995264   0.0009025
         507    0.996886 0.000884366
         508    0.994739  0.00078443
         509    0.995698 0.000855889
         510    0.997887 0.000823287
         511    0.996518 0.000971036
         512    0.995911 0.000914945
         513    0.996183 0.000868521
         514    0.996635 0.000850875
         515    0.996637 0.000942989
         516    0.995157 0.000877671
         517    0.996169 0.000850727
         518    0.995656  0.00093107
         519    0.995219 0.000864718
         520    0.994457 0.000909819
         521    0.994272  0.00090282
         522    0.994809 0.000835798
         523     0.99392 0.000778875
         524    0.995293 0.000908511
         525    0.994254 0.000805099
         526    0.994465 0.000741292
         527    0.995475 0.000903817
         528    0.993661 0.000898456
         529    0.995128 0.000956844
         530    0.994111 0.000939349
         531    0.994956 0.000868062
         532      0.9928  0.00084348
         533    0.995921 0.000841375
         534    0.995565 0.000697424
         535    0.994353 0.000850366
         536    0.993606 0.000901429
         537    0.994843 0.000840725
         538    0.995507 0.000885849
         539    0.994232 0.000785323
         540    0.993071 0.000764824
         541    0.994077  0.00089453
         542    0.994184 0.000812442
         543    0.994917  0.00088015
         544     0.99318  0.00070382
         545     0.99267 0.000880085
         546    0.992324 0.000963634
         547    0.992494 0.000892181
         548    0.993162 0.000791748
         549    0.991992 0.000777445
         550    0.992346 0.000825516
         551    0.993534 0.000878661
         552     0.99402  0.00069883
         553    0.992773 0.000905615
         554    0.992371 0.000828473
         555    0.990252 0.000887711
         556     0.99346 0.000914609
         557    0.992321 0.000744419
         558     0.99135 0.000866259
         559    0.991509 0.000923095
         560    0.991389 0.000732126
         561     0.99417 0.000794621
         562    0.991743 0.000913779
         563    0.991642 0.000810648
         564    0.993234 0.000793642
         565    0.992801 0.000783976
         566    0.992303 0.000833753
         567    0.991216 0.000799762
         568    0.991446 0.000748327
         569    0.989951 0.000754543
         570    0.991047 0.000798428
         571    0.990004 0.000749981
         572    0.991932 0.000742098
         573    0.991061 0.000836766
         574    0.991342 0.000769156
         575    0.991595 0.000843915
         576    0.991352 0.000751033
         577    0.991046 0.000840565
         578    0.992543 0.000811207
         579    0.990538 0.000789927
         580    0.991652 0.000817798
         581    0.990523 0.000794112
         582     0.99086  0.00086805
         583    0.991126 0.000835403
         584    0.990784 0.000797885
         585    0.991597 0.000776838
         586    0.990651 0.000805305
         587    0.991011 0.000736567
         588    0.991827 0.000680859
         589    0.991487 0.000770336
         590    0.990724 0.000757175
         591    0.990987 0.000711207
         592    0.988506 0.000847003
         593    0.990828 0.000717083
         594    0.989787 0.000732241
         595    0.988836 0.000725079
         596    0.989522  0.00065753
         597    0.989517 0.000747679
         598    0.990753 0.000768179
         599    0.990831 0.000738009
         600    0.989803  0.00077304
         601    0.990562  0.00072135
         602    0.990259 0.000787006
         603    0.990762 0.000760065
         604    0.990938 0.000741594
         605    0.989247 0.000746567
         606    0.990339 0.000706357
         607    0.989903 0.000730691
         608    0.988287  0.00079639
         609    0.988941 0.000805006
         610    0.989384 0.000713561
         611    0.990794 0.000753734
         612     0.98975  0.00073661
         613    0.989975 0.000777792
