# DISTANCE:		AVE_GOFR:	 ERROR:
         294     1.05697  0.00802947
         295     1.05682  0.00820641
         296     1.05896  0.00901715
         297     1.05558  0.00943105
         298     1.04916  0.00801411
         299     1.05239  0.00803066
         300     1.05703  0.00848389
         301     1.05002  0.00848268
         302     1.04691  0.00825066
         303     1.04651  0.00828237
         304     1.04855  0.00831168
         305     1.05161  0.00804164
         306     1.05172  0.00849486
         307     1.05542  0.00867212
         308     1.05478  0.00866683
         309     1.05596  0.00828437
         310     1.05667  0.00808422
         311     1.04883  0.00803968
         312     1.05151  0.00783359
         313      1.0492   0.0077297
         314      1.0561  0.00796734
         315     1.04979    0.008082
         316     1.05593  0.00822395
         317     1.05615  0.00781319
         318     1.05826  0.00799156
         319     1.05095   0.0074389
         320     1.04994  0.00830853
         321     1.04743  0.00764128
         322     1.05242  0.00787865
         323     1.05452  0.00729824
         324     1.05118  0.00732587
         325     1.05222  0.00710905
         326     1.05532  0.00784308
         327     1.05523  0.00821191
         328     1.05913  0.00827104
         329     1.05315  0.00766235
         330     1.06157  0.00761862
         331     1.05781   0.0080592
         332      1.0577  0.00678623
         333     1.05392  0.00699045
         334     1.04985  0.00651614
         335     1.05215  0.00668608
         336     1.05451  0.00710498
         337      1.0532  0.00722242
         338     1.05164  0.00724215
         339     1.05229  0.00660447
         340     1.05192  0.00676752
         341     1.04972   0.0067626
         342     1.05036  0.00697793
         343     1.04552  0.00662877
         344     1.05085  0.00687806
         345     1.04118  0.00734196
         346     1.03768  0.00742229
         347     1.03775  0.00737543
         348     1.03873  0.00635733
         349     1.03404  0.00680211
         350     1.03154  0.00684621
         351     1.03064  0.00666176
         352     1.03312  0.00681356
         353     1.04039   0.0063807
         354     1.04044  0.00677389
         355     1.03221   0.0060956
         356     1.03641  0.00651819
         357     1.03547  0.00623485
         358     1.03267  0.00609517
         359     1.03099  0.00594771
         360     1.02854  0.00643364
         361     1.02635   0.0059816
         362     1.02727  0.00630427
         363     1.02229  0.00652921
         364     1.02786  0.00653943
         365     1.02665  0.00654469
         366     1.02099  0.00658258
         367     1.02141  0.00612148
         368     1.01858  0.00610944
         369     1.02224  0.00640282
