#		 BLOCK:	 ACTUAL_T:		 T_AVE:			 ERROR:
         168     1.16047     1.18593  0.00291358
         169     1.17782     1.18588  0.00289673
         170     1.19011      1.1859   0.0028798
         171     1.16178     1.18576  0.00286641
         172     1.14718     1.18554  0.00285851
         173     1.16158      1.1854  0.00284534
         174     1.18578      1.1854  0.00282899
         175     1.20721     1.18553  0.00281557
         176     1.19982     1.18561  0.00280074
         177     1.19528     1.18566  0.00278545
         178     1.17711     1.18561  0.00277021
         179     1.16356     1.18549  0.00275748
         180     1.18289     1.18548   0.0027422
         181      1.1603     1.18534  0.00273057
         182     1.17112     1.18526  0.00271669
         183     1.17688     1.18521  0.00270223
         184     1.17795     1.18517  0.00268783
         185     1.18907     1.18519  0.00267338
         186     1.20333     1.18529  0.00266079
         187     1.20398     1.18539  0.00264843
         188     1.19866     1.18546  0.00263529
         189      1.1621     1.18534  0.00262424
         190     1.20007     1.18542  0.00261157
         191     1.17634     1.18537  0.00259833
         192     1.13499     1.18511  0.00259801
         193     1.16331     1.18499    0.002587
         194     1.17823     1.18496   0.0025739
         195     1.17327      1.1849   0.0025614
         196     1.18355     1.18489  0.00254834
         197     1.18043     1.18487  0.00253551
         198     1.18816     1.18489  0.00252276
         199     1.20542     1.18499  0.00251219
         200     1.18975     1.18501  0.00249974
         201     1.21303     1.18515  0.00249119
         202     1.19102     1.18518  0.00247903
         203     1.21573     1.18533  0.00247138
         204     1.22196     1.18551  0.00246578
         205     1.21751     1.18567  0.00245868
         206     1.18364     1.18566  0.00244677
         207     1.19714     1.18571  0.00243558
         208     1.17702     1.18567  0.00242423
         209     1.16032     1.18555  0.00241566
         210     1.19187     1.18558  0.00240435
         211     1.19073      1.1856  0.00239307
         212     1.17555     1.18556  0.00238226
         213     1.19769     1.18561  0.00237175
         214     1.21222     1.18574  0.00236393
         215     1.22221     1.18591  0.00235901
         216     1.24289     1.18617  0.00236279
         217     1.22127     1.18633  0.00235744
         218     1.21007     1.18644  0.00234913
         219     1.19615     1.18649  0.00233883
         220     1.15844     1.18636  0.00233167
         221     1.15909     1.18624  0.00232438
         222     1.18063     1.18621  0.00231404
         223     1.17637     1.18617  0.00230409
         224     1.19983     1.18623  0.00229461
         225     1.20923     1.18633  0.00228669
         226     1.22035     1.18648  0.00228152
         227     1.20544     1.18656    0.002273
         228     1.19633     1.18661  0.00226343
         229     1.20241     1.18668   0.0022546
         230     1.21604      1.1868  0.00224841
         231     1.18845     1.18681  0.00223869
         232     1.20858      1.1869    0.002231
         233     1.18302     1.18689  0.00222149
         234     1.17708     1.18685  0.00221239
         235     1.15612     1.18671  0.00220684
         236     1.14521     1.18654  0.00220448
         237     1.14898     1.18638  0.00220087
