# BLOCK:		ACTUAL_HAM:	 	AVERAG_HAM:			ERROR:
       0       -0.136367       -0.136367               0
       1       -0.160005       -0.148186       0.0118189
       2        -0.15447       -0.150281      0.00713788
       3        -0.11816       -0.142251      0.00948478
       4        -0.16185        -0.14617      0.00832719
       5       -0.131868       -0.143787      0.00720486
       6        -0.12766       -0.141483      0.00651048
       7       -0.154953       -0.143167       0.0058843
       8       -0.144736       -0.143341       0.0051924
       9       -0.167678       -0.145775      0.00524326
      10        -0.13789       -0.145058      0.00479657
      11       -0.136184       -0.144318      0.00444065
      12       -0.148302       -0.144625      0.00409629
      13       -0.123921       -0.143146      0.00407056
      14       -0.161375       -0.144361      0.00397958
      15       -0.150606       -0.144752      0.00374296
      16       -0.143422       -0.144673      0.00351677
      17       -0.116182       -0.143091       0.0036741
      18       -0.140139       -0.142935      0.00347882
      19       -0.148968       -0.143237      0.00331405
      20       -0.144483       -0.143296      0.00315285
      21       -0.145082       -0.143377      0.00300722
      22       -0.143349       -0.143376       0.0028735
      23       -0.118208       -0.142327      0.00294425
      24       -0.145998       -0.142474      0.00282784
      25       -0.150987       -0.142802      0.00273656
      26       -0.159921       -0.143436      0.00270852
      27       -0.159252       -0.144001      0.00267042
      28       -0.161363       -0.144599      0.00264533
      29       -0.146365       -0.144658      0.00255631
      30       -0.144567       -0.144655      0.00247248
      31       -0.145096       -0.144669      0.00239401
      32       -0.118623        -0.14388      0.00245089
      33       -0.135873       -0.143644      0.00238934
      34       -0.155377       -0.143979      0.00234417
      35       -0.154228       -0.144264      0.00229584
      36       -0.120302       -0.143617      0.00232495
      37       -0.168196       -0.144263      0.00235356
      38       -0.142573        -0.14422      0.00229283
      39       -0.138982       -0.144089      0.00223861
      40       -0.106488       -0.143172      0.00236812
      41       -0.118255       -0.142579      0.00238598
      42       -0.149814       -0.142747       0.0023359
      43       -0.151164       -0.142938       0.0022902
      44       -0.142074       -0.142919      0.00223881
      45       -0.111823       -0.142243      0.00229158
      46       -0.110475       -0.141567      0.00234195
      47       -0.165562       -0.142067       0.0023465
      48       -0.192855       -0.143104      0.00252104
      49       -0.160631       -0.143454      0.00249486
      50       -0.104219       -0.142685       0.0025636
      51       -0.147233       -0.142772      0.00251534
      52       -0.126764        -0.14247      0.00248584
      53       -0.139373       -0.142413      0.00244005
      54       -0.129385       -0.142176      0.00240696
      55       -0.153052        -0.14237      0.00237155
      56         -0.1524       -0.142546      0.00233621
      57       -0.143345        -0.14256      0.00229562
      58       -0.128421        -0.14232      0.00226906
      59       -0.158039       -0.142582      0.00224626
      60       -0.147462       -0.142662      0.00221057
      61       -0.146258        -0.14272       0.0021754
      62       -0.119218       -0.142347      0.00217285
      63       -0.126984       -0.142107      0.00215206
      64       -0.126666        -0.14187      0.00213197
      65       -0.147996       -0.141962      0.00210147
      66       -0.148974       -0.142067      0.00207251
      67       -0.155333       -0.142262       0.0020511
      68       -0.159681       -0.142515      0.00203687
      69       -0.122927       -0.142235      0.00202696
      70       -0.143328        -0.14225      0.00199827
      71       -0.174415       -0.142697      0.00202033
      72        -0.15779       -0.142904      0.00200316
      73       -0.151195       -0.143016      0.00197908
      74       -0.144519       -0.143036      0.00195262
      75        -0.14261        -0.14303      0.00192676
      76       -0.143238       -0.143033      0.00190158
      77       -0.129658       -0.142861      0.00188486
      78       -0.171776       -0.143227       0.0018965
      79       -0.131292       -0.143078      0.00187858
      80       -0.149133       -0.143153      0.00185674
      81       -0.159349        -0.14335      0.00184457
      82       -0.163478       -0.143593      0.00183827
      83       -0.153979       -0.143717      0.00182046
      84       -0.171602       -0.144045      0.00182858
      85       -0.141272       -0.144012      0.00180748
      86       -0.139574       -0.143961      0.00178732
      87       -0.142209       -0.143942        0.001767
      88       -0.152771       -0.144041      0.00174985
      89       -0.156702       -0.144181      0.00173601
      90       -0.117915       -0.143893      0.00174092
      91        -0.16388        -0.14411      0.00173554
      92       -0.163518       -0.144319      0.00172942
      93       -0.174619       -0.144641      0.00174102
      94       -0.161403       -0.144818      0.00173161
      95       -0.141676       -0.144785      0.00171379
      96       -0.127185       -0.144603      0.00170571
      97       -0.150851       -0.144667      0.00168941
      98       -0.174648        -0.14497      0.00169946
      99        -0.13608       -0.144881      0.00168473
