# DISTANCE:		AVE_GOFR:	 ERROR:
         292     1.06473  0.00164873
         293     1.06557  0.00164275
         294     1.06803   0.0016418
         295     1.06207  0.00163084
         296      1.0659   0.0016293
         297     1.06181  0.00161813
         298      1.0603  0.00161129
         299      1.0621  0.00161034
         300     1.06417  0.00160779
         301     1.05872   0.0015966
         302     1.06154  0.00159327
         303     1.06215   0.0015858
         304     1.06049  0.00157974
         305      1.0607  0.00157564
         306      1.0614  0.00156901
         307     1.05791  0.00156664
         308     1.05608  0.00155559
         309     1.06206  0.00155611
         310     1.05296  0.00154276
         311     1.05551  0.00154357
         312     1.05902  0.00153841
         313     1.05903    0.001534
         314     1.05826  0.00153031
         315     1.05905  0.00152336
         316     1.05838  0.00151759
         317     1.05498  0.00151445
         318     1.05723  0.00151066
         319      1.0536  0.00150183
         320      1.0538  0.00150327
         321     1.05491  0.00149555
         322     1.05749  0.00149196
         323     1.05474  0.00148497
         324     1.05587  0.00147867
         325     1.05726  0.00147743
         326     1.05583  0.00147073
         327      1.0522  0.00146958
         328     1.05536  0.00146212
         329     1.05346  0.00145997
         330      1.0525  0.00144989
         331     1.05168   0.0014468
         332     1.05155  0.00144306
         333     1.05158  0.00143734
         334     1.04988  0.00143236
         335     1.05307  0.00143167
         336     1.05008  0.00142195
         337     1.05345  0.00142093
         338     1.04979  0.00141481
         339     1.04728  0.00141144
         340     1.04997  0.00140769
         341     1.04959  0.00140259
         342     1.04832   0.0013998
         343     1.04764   0.0013929
         344     1.04845  0.00138877
         345     1.04643  0.00138658
         346     1.04908  0.00138249
         347     1.04438   0.0013745
         348     1.04786  0.00137182
         349     1.04258  0.00136663
         350     1.04611   0.0013654
         351     1.04521  0.00135919
         352      1.0444  0.00135558
         353     1.04638  0.00135506
         354     1.04521  0.00134919
         355     1.04226  0.00134364
         356     1.04117  0.00133894
         357     1.04247  0.00133499
         358     1.04255   0.0013306
         359     1.04028  0.00132779
         360     1.03947  0.00132094
         361     1.03813  0.00131803
         362     1.03716  0.00131394
         363     1.03567  0.00130952
         364      1.0391    0.001308
         365     1.04228  0.00130735
         366     1.03689  0.00129875
         367     1.03807   0.0012982
         368     1.03437  0.00129147
         369     1.03009  0.00128137
         370     1.03501  0.00128476
         371     1.03299  0.00127824
         372     1.03276  0.00127745
         373     1.03099  0.00127202
         374     1.03305  0.00126957
         375     1.03269  0.00126376
         376     1.02773  0.00126043
         377     1.03265  0.00125626
         378     1.03111  0.00125558
         379     1.03142   0.0012532
         380     1.02931  0.00124561
         381     1.02535  0.00124066
         382     1.02732  0.00123671
         383     1.02494  0.00123421
         384     1.02534  0.00123225
         385     1.02627  0.00122763
         386     1.02584  0.00122522
         387     1.02658  0.00122164
         388     1.02496  0.00121857
         389      1.0268  0.00121471
         390     1.02441  0.00121141
         391     1.02413  0.00120844
         392     1.02446  0.00120663
         393      1.0266  0.00120461
         394     1.02134  0.00119679
         395     1.02076  0.00119423
         396     1.02258  0.00119107
         397     1.02082  0.00118746
         398     1.01869  0.00118418
         399     1.02012  0.00118104
         400     1.01817  0.00117637
         401     1.01917  0.00117502
         402     1.01712  0.00117319
         403     1.01748  0.00116745
         404     1.01535  0.00116315
         405     1.01638  0.00116285
         406     1.01845  0.00115881
         407     1.01505   0.0011555
         408     1.01445  0.00115351
         409     1.01788  0.00115108
         410     1.01602  0.00114873
         411     1.01415    0.001145
         412     1.01281  0.00114095
         413       1.013  0.00113881
         414     1.01409  0.00113701
         415     1.01449  0.00113285
         416     1.01327  0.00112796
         417     1.01059  0.00112682
         418      1.0128  0.00112542
         419     1.01192  0.00112344
         420     1.01162  0.00111918
         421     1.00922  0.00111725
         422     1.01021  0.00111017
         423     1.01225  0.00111024
         424     1.00787  0.00110639
         425     1.01044  0.00110444
         426     1.00793  0.00109928
         427     1.00935  0.00109899
         428     1.00678  0.00109383
         429     1.00699   0.0010913
         430     1.01134  0.00109369
         431     1.00874  0.00108792
