#		 BLOCK:	 ACTUAL_T:		 T_AVE:			 ERROR:
         167    0.814352    0.815097  0.00037182
         168    0.815551    0.815099 0.000369617
         169    0.811674    0.815079 0.000367985
         170    0.822324    0.815122  0.00036828
         171    0.810959    0.815097  0.00036693
         172    0.815763    0.815101 0.000364818
         173    0.819538    0.815127 0.000363609
         174    0.817732    0.815142 0.000361827
         175    0.813745    0.815134 0.000359848
         176    0.823566    0.815182 0.000360978
         177    0.806192    0.815131 0.000362494
         178    0.820764    0.815163 0.000361836
         179    0.818198     0.81518 0.000360212
         180    0.807292    0.815136 0.000360867
         181    0.819238    0.815159 0.000359584
         182     0.82303    0.815202 0.000360199
         183    0.810307    0.815175 0.000359223
         184    0.816239    0.815181 0.000357317
         185    0.809679    0.815151 0.000356621
         186    0.818236    0.815168  0.00035509
         187    0.809809    0.815139 0.000354345
         188    0.818339    0.815156 0.000352869
         189    0.816564    0.815163 0.000351081
         190    0.814918    0.815162 0.000349235
         191    0.808738    0.815129 0.000349023
         192    0.815523    0.815131 0.000347211
         193    0.817063    0.815141 0.000345556
         194    0.816747    0.815149 0.000343874
         195    0.817187    0.815159  0.00034227
         196    0.818693    0.815177 0.000340998
         197    0.814265    0.815173 0.000339298
         198    0.810051    0.815147 0.000338569
         199    0.813693     0.81514 0.000336947
         200    0.819751    0.815163  0.00033605
         201    0.818058    0.815177 0.000334687
         202    0.810909    0.815156 0.000333696
         203    0.820838    0.815184 0.000333224
         204    0.811173    0.815164  0.00033217
         205    0.821044    0.815193 0.000331786
         206     0.81244     0.81518 0.000330444
         207    0.815217     0.81518 0.000328848
         208    0.815746    0.815182 0.000327278
         209     0.81596    0.815186 0.000325733
         210    0.825876    0.815237 0.000328136
         211    0.812374    0.815224 0.000326861
         212    0.814376     0.81522 0.000325343
         213    0.818837    0.815237 0.000324259
         214     0.81878    0.815253 0.000323166
         215    0.817019    0.815261 0.000321767
         216    0.813338    0.815252 0.000320401
         217    0.823618    0.815291 0.000321236
         218    0.810286    0.815268 0.000320581
         219    0.816538    0.815274  0.00031917
         220    0.810302    0.815251 0.000318518
         221    0.816761    0.815258  0.00031715
         222    0.812315    0.815245 0.000315998
         223    0.819156    0.815262 0.000315068
         224    0.821271    0.815289 0.000314801
         225    0.812211    0.815275 0.000313699
         226     0.82518    0.815319 0.000315357
         227    0.807808    0.815286 0.000315699
         228    0.826574    0.815336 0.000318172
         229    0.803509    0.815284 0.000320947
         230      0.8274    0.815337 0.000323846
         231    0.802818    0.815283 0.000326947
         232    0.816095    0.815286 0.000325556
         233    0.809762    0.815262 0.000325021
         234    0.810086     0.81524 0.000324384
         235    0.828944    0.815298 0.000328204
         236    0.809271    0.815273 0.000327805
         237    0.817314    0.815282 0.000326535
         238    0.817745    0.815292 0.000325327
         239    0.808685    0.815264 0.000325139
         240    0.820829    0.815287  0.00032461
         241    0.821362    0.815313  0.00032424
         242    0.813175    0.815304  0.00032302
         243     0.81502    0.815303 0.000321693
         244    0.812792    0.815292 0.000320539
         245    0.816258    0.815296 0.000319255
         246    0.822186    0.815324 0.000319184
         247    0.820743    0.815346 0.000318644
         248    0.801139    0.815289 0.000322468
         249     0.82159    0.815314 0.000322164
         250    0.818494    0.815327 0.000321126
         251    0.807514    0.815296 0.000321352
         252    0.818239    0.815308 0.000320289
         253    0.817021    0.815314 0.000319095
         254     0.81197    0.815301  0.00031811
         255     0.81502      0.8153 0.000316864
         256    0.812745     0.81529 0.000315784
         257    0.816004    0.815293 0.000314567
         258    0.819172    0.815308 0.000313707
         259    0.812286    0.815296 0.000312713
         260    0.820534    0.815316 0.000312158
         261    0.812828    0.815307 0.000311108
         262    0.812982    0.815298 0.000310047
         263    0.815019    0.815297  0.00030887
         264    0.815713    0.815298 0.000307704
         265    0.821476    0.815322 0.000307424
         266    0.812351    0.815311 0.000306471
         267     0.81361    0.815304  0.00030539
         268    0.822031    0.815329  0.00030528
         269    0.810572    0.815312 0.000304657
         270    0.817298    0.815319 0.000303617
         271    0.819478    0.815334 0.000302885
         272    0.815752    0.815336 0.000301775
         273    0.809284    0.815314 0.000301483
         274    0.816245    0.815317 0.000300401
         275    0.816324    0.815321 0.000299331
         276     0.81942    0.815336 0.000298615
         277    0.814399    0.815332 0.000297556
         278    0.812792    0.815323 0.000296626
         279    0.822219    0.815348 0.000296591
         280    0.815702    0.815349 0.000295534
         281    0.810809    0.815333 0.000294924
         282    0.819295    0.815347 0.000294213
         283    0.816513    0.815351 0.000293202
         284    0.813276    0.815344 0.000292261
         285    0.817555    0.815352 0.000291338
         286    0.815764    0.815353 0.000290323
         287    0.814666    0.815351 0.000289321
         288    0.816153    0.815353  0.00028833
         289    0.809255    0.815332 0.000288104
         290     0.82241    0.815357 0.000288142
         291     0.80954    0.815337 0.000287844
         292    0.812148    0.815326 0.000287066
         293    0.813994    0.815321 0.000286122
         294    0.805543    0.815288 0.000287075
         295    0.818108    0.815298 0.000286261
         296    0.818511    0.815308   0.0002855
         297    0.820696    0.815327 0.000285115
         298    0.810317     0.81531 0.000284653
         299    0.813438    0.815303  0.00028377
         300    0.822744    0.815328 0.000283906
