# BLOCK: 		 AVERAGE: 		 ERROR:
       0        0.992238               0
       1        0.995006      0.00276847
       2        0.997829      0.00324397
       3        0.997548      0.00231101
       4        0.997912      0.00182667
       5        0.997499      0.00154756
       6        0.997439       0.0013093
       7          0.9976      0.00114527
       8        0.997287      0.00105732
       9        0.997817        0.001084
      10        0.997853     0.000981192
      11        0.997766     0.000899913
      12        0.998101     0.000892947
      13        0.998631     0.000981734
      14        0.998908     0.000954953
      15        0.998934     0.000893657
      16        0.998695     0.000872591
      17        0.998885     0.000844288
      18        0.998592     0.000850587
      19        0.998436     0.000822035
      20        0.998637     0.000807448
      21        0.999288      0.00100812
      22        0.999283     0.000963305
      23        0.999266     0.000922454
      24        0.999254     0.000884865
      25        0.999318     0.000852522
      26        0.999713     0.000910613
      27        0.999786     0.000880562
      28        0.999585     0.000873223
      29        0.999587     0.000843615
      30        0.999554     0.000816589
      31        0.999529     0.000791052
      32        0.999631     0.000773421
      33        0.999752     0.000760052
      34         0.99961     0.000751607
      35        0.999596     0.000730559
      36        0.999474      0.00072107
      37        0.999463     0.000701917
      38        0.999624     0.000702377
      39         0.99983     0.000714838
      40        0.999687     0.000711598
      41        0.999682     0.000694471
      42        0.999752      0.00068179
      43        0.999752     0.000666115
      44        0.999731     0.000651489
      45        0.999781     0.000639143
      46        0.999878     0.000632811
      47        0.999985     0.000628631
      48        0.999968     0.000615912
      49         1.00008     0.000614657
      50         1.00012     0.000603755
      51         1.00025     0.000606463
      52         1.00026     0.000594956
      53         1.00031     0.000585668
      54         1.00028     0.000575677
      55         1.00044     0.000588729
      56          1.0004     0.000580211
      57         1.00042     0.000570615
      58         1.00043     0.000560888
      59         1.00042     0.000551474
      60         1.00043     0.000542387
      61          1.0005     0.000538099
      62         1.00051     0.000529631
      63         1.00041     0.000530128
      64          1.0004     0.000522063
      65         1.00026     0.000533183
      66         1.00019     0.000529331
      67         1.00014      0.00052421
      68         1.00013     0.000516692
      69         1.00012     0.000509291
      70         1.00006     0.000505859
      71         1.00006     0.000498801
      72         1.00014     0.000498367
      73         1.00016     0.000491791
      74         1.00024     0.000492557
      75         1.00019     0.000488424
      76         1.00012     0.000488504
      77         1.00013     0.000482554
      78         1.00016     0.000476873
      79         1.00018     0.000471622
      80         1.00014     0.000468014
      81         1.00019     0.000465454
      82         1.00021     0.000460405
      83         1.00015     0.000459371
      84         1.00023     0.000460526
      85         1.00018     0.000457913
      86         1.00015      0.00045364
      87          1.0001     0.000450655
      88         1.00007     0.000446848
      89         1.00008      0.00044196
      90         1.00011     0.000438349
      91         1.00009     0.000433932
      92         1.00006     0.000430278
      93         1.00004     0.000426293
      94         1.00014     0.000432426
      95         1.00017     0.000429343
      96         1.00017     0.000424911
      97          1.0002     0.000421595
      98         1.00017     0.000418275
      99         1.00013     0.000416098
