TEMPERATURE:	 	FINAL_TE:	ERROR:
         2.5   -0.380449 8.30611e-05
       2.475   -0.383991 7.65041e-05
        2.45   -0.387505 7.45826e-05
       2.425   -0.391093  7.7274e-05
         2.4   -0.394721 7.77388e-05
       2.375   -0.398424 7.69187e-05
        2.35   -0.402189 7.88278e-05
       2.325   -0.406059 8.44343e-05
         2.3   -0.409984 8.49735e-05
       2.275   -0.413934 8.45803e-05
        2.25   -0.418007 8.49429e-05
       2.225   -0.422127 8.44867e-05
         2.2   -0.426366 8.35394e-05
       2.175   -0.430642 8.27951e-05
        2.15   -0.435006 8.20047e-05
       2.125   -0.439476 8.19792e-05
         2.1   -0.444007 8.11542e-05
       2.075   -0.448609 8.15506e-05
        2.05   -0.453323 8.58245e-05
       2.025   -0.458137 8.46669e-05
           2   -0.463045 7.96885e-05
       1.975   -0.468024 8.14593e-05
        1.95   -0.473139 8.40233e-05
       1.925   -0.478328 8.27674e-05
         1.9   -0.483588 8.34826e-05
       1.875   -0.488993 8.19248e-05
        1.85    -0.49445 8.25353e-05
       1.825   -0.500044 8.44484e-05
         1.8   -0.505807 8.86398e-05
       1.775   -0.511689 9.11267e-05
        1.75   -0.517677 9.11854e-05
       1.725    -0.52376 9.03523e-05
         1.7   -0.529945 9.48832e-05
       1.675    -0.53626 9.25394e-05
        1.65   -0.542752 9.01865e-05
       1.625   -0.549366 8.68395e-05
         1.6   -0.556096 9.21662e-05
       1.575   -0.562961 9.03476e-05
        1.55    -0.56996 8.99854e-05
       1.525   -0.577118  9.2367e-05
         1.5   -0.584401 8.91402e-05
       1.475   -0.591938 8.93638e-05
        1.45   -0.599585  8.4287e-05
       1.425   -0.607387 9.03004e-05
         1.4   -0.615332 8.92066e-05
       1.375   -0.623426 9.64356e-05
        1.35   -0.631747 9.22778e-05
       1.325   -0.640268 9.80213e-05
         1.3   -0.648935 0.000102214
       1.275   -0.657789 0.000103785
        1.25   -0.666794 0.000112276
       1.225   -0.676032 0.000107978
         1.2   -0.685366 0.000108835
       1.175   -0.694908 0.000100807
        1.15   -0.704711 0.000104197
       1.125   -0.714709 0.000106905
         1.1   -0.724874 0.000111183
       1.075   -0.735249 0.000117871
        1.05   -0.745773 0.000127344
       1.025   -0.756492 0.000128333
           1   -0.767492 0.000136371
       0.975    -0.77854 0.000130896
        0.95   -0.789813 0.000129646
       0.925   -0.801401 0.000146212
         0.9   -0.813018 0.000149986
       0.875    -0.82494 0.000156417
        0.85   -0.837001 0.000168949
       0.825    -0.84899 0.000164434
         0.8    -0.86157 0.000204128
       0.775   -0.874185 0.000200237
        0.75   -0.886832 0.000212396
       0.725   -0.899792 0.000254709
         0.7   -0.912946 0.000263892
       0.675   -0.926242 0.000278898
        0.65    -0.93939 0.000296279
       0.625   -0.952158 0.000332794
         0.6   -0.964819 0.000369945
       0.575   -0.976351 0.000385475
        0.55   -0.987009 0.000331545
       0.525   -0.996049 0.000338194
         0.5    -1.00345 0.000275738
